id,entityId1,entityId2
0,1199,537
1,603,1976
2,634,332
3,165,1468
4,582,554
5,1109,938
6,348,1545
7,673,265
8,782,2387
9,1071,2045
10,883,152
11,987,826
12,830,459
13,20,1217
14,1151,440
15,573,2422
16,587,150
17,770,2459
18,1252,2303
19,1231,1067
20,440,2120
21,568,2850
22,359,2700
23,1281,1015
24,757,386
25,1145,2069
26,1024,756
27,649,228
28,560,356
29,428,2190
30,974,812
31,1335,639
32,858,202
33,450,2415
34,537,221
35,375,2499
36,1274,494
37,847,188
38,732,423
39,1285,698
40,586,256
41,1310,678
42,1253,191
43,1238,514
44,851,794
45,30,426
46,619,291
47,807,2400
48,66,1534
49,1250,454
50,1188,571
51,177,1448
52,1120,2117
53,1218,1065
54,1080,1345
55,1059,1972
56,795,2477
57,1268,1013
58,90,1599
59,1121,927
60,36,1986
61,1058,12
62,1038,742
63,77,1565
64,818,2620
65,1322,633
66,1213,556
67,1146,905
68,1340,253
69,708,398
70,719,2646
71,578,947
72,897,165
73,101,1628
74,724,2236
75,462,2388
76,721,436
77,831,2485
78,60,2054
79,1347,619
80,774,2186
81,1243,1059
82,1336,599
83,1175,559
84,1013,785
85,881,2433
86,832,1473
87,1031,2268
88,919,2444
89,47,2025
90,747,338
91,661,219
92,1085,960
93,1200,539
94,476,2353
95,0,1833
96,506,1913
97,765,463
98,857,2390
99,380,2131
100,409,2713
101,1260,775
102,1006,2311
103,321,2934
104,124,1792
105,1222,1880
106,1102,493
107,894,2484
108,983,2178
109,938,880
110,265,330
111,166,1469
112,284,2849
113,674,266
114,266,2298
115,697,406
116,466,2081
117,771,2458
118,611,290
119,1135,920
120,1297,700
121,922,169
122,635,351
123,1257,1040
124,308,2915
125,1160,897
126,875,912
127,863,979
128,1092,1342
129,592,943
130,906,2445
131,1025,764
132,733,425
133,1072,964
134,488,2332
135,243,141
136,561,2419
137,950,852
138,1097,944
139,316,2913
140,909,162
141,1000,808
142,1157,2110
143,734,357
144,1323,627
145,78,1561
146,1173,792
147,312,573
148,334,2852
149,1348,610
150,1172,885
151,1226,506
152,1107,940
153,783,2456
154,594,513
155,48,2023
156,1132,919
157,1176,558
158,694,410
159,613,189
160,1110,702
161,662,218
162,817,2497
163,1060,1998
164,1229,1066
165,1201,541
166,1261,464
167,636,334
168,646,312
169,442,2102
170,88,1571
171,285,2851
172,452,2082
173,885,155
174,1333,641
175,707,2642
176,55,2053
177,371,2660
178,612,289
179,10,1906
180,509,2697
181,551,2060
182,746,1462
183,188,1476
184,361,2699
185,1308,674
186,309,2918
187,1042,2278
188,976,810
189,622,274
190,759,388
191,373,2509
192,860,200
193,112,1646
194,178,1509
195,1236,516
196,1298,711
197,346,2706
198,1276,495
199,1118,2122
200,79,1543
201,1011,766
202,670,1641
203,836,955
204,959,2233
205,519,2693
206,125,1823
207,769,375
208,1133,2136
209,1211,555
210,1220,1060
211,844,2344
212,735,355
213,34,1990
214,1123,923
215,1036,748
216,1324,624
217,870,193
218,103,1618
219,1181,1009
220,1270,1012
221,717,2654
222,1148,904
223,917,2443
224,935,2202
225,164,1454
226,685,424
227,716,439
228,58,2061
229,1349,611
230,1083,962
231,335,2859
232,1255,1022
233,49,2021
234,874,1526
235,319,2933
236,784,2455
237,672,260
238,126,1775
239,745,345
240,463,428
241,936,878
242,1033,2270
243,19,1213
244,861,2213
245,838,421
246,474,2365
247,859,2380
248,695,409
249,1177,562
250,920,170
251,637,329
252,1158,898
253,286,2840
254,1262,465
255,2,1836
256,642,305
257,1227,1322
258,663,223
259,502,2105
260,1202,543
261,647,313
262,443,2104
263,648,230
264,808,2532
265,1284,695
266,411,2714
267,688,2638
268,89,1575
269,539,285
270,1334,640
271,886,156
272,189,1471
273,538,370
274,846,190
275,760,378
276,730,1625
277,362,2698
278,1275,1021
279,372,2669
280,179,1505
281,945,2217
282,310,2919
283,26,371
284,623,273
285,216,483
286,113,1644
287,267,2397
288,791,666
289,1299,708
290,469,2386
291,347,2705
292,532,886
293,624,2241
294,908,2446
295,374,2511
296,556,942
297,1264,2369
298,1027,763
299,427,2210
300,80,1539
301,448,2083
302,1187,572
303,961,2144
