id,price,manufacturer,description,title,entityUrl
0,38.99,intuit,learning quickbooks 2007,learning quickbooks 2007,http://www.google.com/base/feeds/snippets/11125907881740407428
1,8.49,,fun with reading & writing! is designed to help kids learn to read and write better through exercises puzzle-solving creative writing decoding and more!,superstart! fun with reading & writing!,http://www.google.com/base/feeds/snippets/11538923464407758599
2,637.99,intuit,qb pos 6.0 basic retail mngmt software. for retailers who need basic inventory sales and customer tracking.,qb pos 6.0 basic software,http://www.google.com/base/feeds/snippets/11343515411965421256
3,12.95,,save spectacle city by disrupting randall underling's plan to drive all the stores out of business and take over the city. solve real-world math challenges in the uniquely entertaining stores and make theme successful again.,math missions: the amazing arcade adventure (grades 3-5),http://www.google.com/base/feeds/snippets/12049235575237146821
4,805.99,adobe software,adobe cs3 production premium mac upgrade from production studio premium or standard,production prem cs3 mac upgrad,http://www.google.com/base/feeds/snippets/12244614697089679523
5,103.99,corel corporation,corel video studio 11 plus is consumer video editing and dvd authoring software that lets anyone do more with video.,video studio 11 plus,http://www.google.com/base/feeds/snippets/12311932123270766595
6,585.99,canopus/grass valley,whether you are working with standard definition or high definition video grass valley edius pro nle software frees you from the limitations of conventional editing systems. edius pro software can be upgraded to edius broadcast at any time.,edius pro 4,http://www.google.com/base/feeds/snippets/13364214809208487698
7,1054.99,intuit,qb pos 6.0 pro multistore retail mngmt software. has all the features in basic plus the ability to manage up to ten stores from a single office.,qb pos 6.0 pro multi store sw,http://www.google.com/base/feeds/snippets/12835181529749808477
8,25.99,intuit,quickbooks credit card kit v3.0 (2007),qb credit card kit 3.0,http://www.google.com/base/feeds/snippets/12949835105262366018
9,92.99,sony creative software,sony media software vegas movie studio +dvd 8 platinum edition. video editing and dvd creation software vegas movie studio platinum edition software provides the power features and advanced tools you need to edit video in nearly any format ...,vegas movie studiodvd+8 plat,http://www.google.com/base/feeds/snippets/12991998923940483779
10,1474.99,intuit,qb pos 6.0 pro solution hw/sw. ships in an unprinted corrugated shipper.,qb pos 6.0 pro solution hw/sw,http://www.google.com/base/feeds/snippets/13394537834910060641
11,29.95,,decide the fate of the galaxy! a space combat simulation game which combines the action of space combat with strategic planning and a gripping plot.,ares rising,http://www.google.com/base/feeds/snippets/13665841494141374823
12,14.99,,based on the tween lifestyle brand launched in 2004 this action/adventure game will contain loads of adventures tailored specifically to the player's personality type. the evergirl brand features a clothing and accessories line with a companion web ...,evergirl: pc cd-rom video game,http://www.google.com/base/feeds/snippets/10563522754094993865
13,2068.26,,cisco systems cd384-aisk9= : usually ships in 24 hours : in stock : cisco ios (internetworking operating system) software is the platform that delivers network services and enables networked applications.,cd384-aisk9= cisco ios advanced ip services - complete package - cd,http://www.google.com/base/feeds/snippets/13499020603250895672
14,154.6,,wasp bar code 633808063023 : usually ships in 24 hours : in stock : wasp fontware is a powerful bar code utility that seamlessly integrates truetype fonts with your favorite business software and database applications.,633808063023 wasp bar code fontware - complete package - 10 users - cd - win - english,http://www.google.com/base/feeds/snippets/13506048545083752063
15,95.12,,axis communications 0202-034 : usually ships in 24 hours : in stock : axis camera station is an ip-surveillance software that works with axis network cameras and video servers to provide video monitoring recording and event management functions.,0202-034 axis camera station - license - 1 additional user,http://www.google.com/base/feeds/snippets/13506662111309274857
16,137.09,,hp eu063av aba : usually ships in 24 hours : : microsoft windows xp professional is the next version of the windows operating system which is designed for businesses of all sizes and for individuals who demand the most from their computing ...,eu063av aba microsoft windows xp professional - license and media - 1 user - cto - english -,http://www.google.com/base/feeds/snippets/13509582144618483313
