id,entityId1,entityId2
0,193,19880
1,2132,7358
2,149,8943
3,1621,16058
4,649,1427
5,364,9532
6,2400,10787
7,955,4702
8,1846,15547
9,1316,4506
10,2072,4159
11,1501,5285
12,1248,16298
13,1359,1903
14,541,9189
15,1011,13413
16,1487,3573
17,906,3469
18,1014,7028
19,1684,17948
20,2483,11841
21,1577,13540
22,1717,17261
23,1185,11039
24,2334,10108
25,1905,7800
26,319,21483
27,172,1152
28,1997,12451
29,1423,9727
30,1189,2759
31,1426,10692
32,704,18206
33,750,10530
34,1499,4637
35,2147,2887
36,313,8870
37,1005,11657
38,765,15415
39,1175,19245
40,2371,10923
41,1136,17383
42,1165,3695
43,25,6984
44,2087,11143
45,1104,1397
46,1237,6974
47,2496,12024
48,179,8545
49,1242,2465
50,1291,17829
51,307,10209
52,1851,13348
53,1549,18948
54,1803,6872
55,315,7705
56,1821,10711
57,80,6526
58,1268,4380
59,20,16837
60,2236,1662
61,426,14868
62,483,9130
63,388,1450
64,2229,14755
65,1656,14169
66,1609,2509
67,1895,7660
68,1854,10030
69,1939,20177
70,1666,6194
71,632,13149
72,1219,14406
73,1448,7902
74,2264,19007
75,457,8018
76,719,6972
77,1919,543
78,1412,16818
79,997,4379
80,518,2138
81,1949,17302
82,617,19540
83,1975,8180
84,1244,10288
85,1224,8070
86,1716,17396
87,1542,10127
88,1960,2284
89,1180,4537
90,645,6760
91,599,556
92,131,5595
93,1511,4519
94,870,14930
95,33,11683
96,205,10517
97,2221,11340
98,1119,3471
99,623,14735
100,447,13174
101,1477,2432
102,1252,9635
103,1626,13619
104,468,20645
105,1292,18602
106,133,18758
107,1628,6288
108,2226,8670
109,2257,8356
110,603,21731
111,452,16645
112,2305,10515
113,949,7346
114,1766,5888
115,1563,430
116,1370,5172
117,1077,11884
118,803,4121
119,1951,20443
120,892,21096
121,1138,9085
122,1195,5364
123,1943,15780
124,2150,21343
125,2219,245
126,1706,17026
127,2471,19283
128,563,18915
129,798,6373
130,1715,20591
131,1545,21374
132,2407,12311
133,1481,4162
134,711,7671
135,1461,3780
136,1607,13172
137,1934,9578
138,1282,1240
139,395,99
140,9,2456
141,1394,19580
142,178,19149
143,2507,5038
144,1700,13659
145,2550,15807
146,2016,12006
147,1107,12700
148,1769,5882
149,975,13422
150,1882,10854
151,2076,18297
152,850,8443
153,2349,18166
154,1875,9386
155,1155,14873
156,2073,15479
157,1800,255
158,1829,19353
159,221,16624
160,1578,3323
161,346,8304
162,654,14489
163,345,8386
164,780,14278
165,1432,6230
166,2488,5635
167,85,9496
168,648,4759
169,2397,10117
170,880,5986
171,2029,14035
172,448,13173
173,1571,6998
174,1579,11460
175,2013,9226
176,637,15920
177,2515,4424
178,907,13994
179,811,453
180,527,485
181,742,8235
182,1151,18330
183,1513,1592
184,561,18152
185,1860,5560
186,2201,17198
187,2006,13921
188,2548,19117
189,130,9890
190,1360,994
191,514,14881
192,1178,18153
193,666,12514
194,805,14294
195,1324,912
196,722,12995
197,2089,7048
198,1295,6405
199,2267,2527
200,1468,2293
201,1451,4719
202,1063,3145
203,785,10845
204,1681,13297
205,925,21757
206,476,2717
207,1891,15304
208,917,17317
209,1108,10672
210,938,15252
211,681,20251
212,558,5883
213,1070,18620
214,797,6508
215,2097,21457
216,66,3668
217,231,10436
218,151,691
219,2276,12760
220,1356,11269
221,1163,6862
222,1512,20844
223,2295,21434
224,1190,10706
225,336,20174
226,1368,12442
227,2540,5175
228,186,1928
229,540,9383
230,916,8910
231,2028,12891
232,615,17519
233,2156,14545
234,2327,8544
235,2252,16783
236,539,11542
237,399,713
238,201,6828
239,1535,18999
240,1183,11288
241,2254,345
242,431,18464
243,2368,15351
244,2315,9548
245,1340,8496
246,2107,8358
247,57,13302
248,2078,3894
249,983,18364
250,974,19753
251,2253,11265
252,29,6031
253,1236,7615
254,935,14800
255,1001,6638
256,219,8696
257,715,7850
258,2121,4432
259,945,3103
260,347,14458
261,556,6721
262,2047,8524
263,284,2675
264,114,9223
265,2513,20426
266,1791,19538
267,939,3615
268,1457,8346
269,1904,15684
270,1837,13677
271,376,9389
272,2231,17839
273,1964,14803
274,2293,6548
275,264,16640
276,1657,16332
277,864,11894
278,1695,17274
279,1391,2976
280,2539,10705
281,1080,14454
282,1230,4667
283,1560,19669
284,1380,20890
285,2183,10973
286,2146,6470
287,1325,10507
