id,authors,title,year,venue,entityUrl
0,D. Scott Mackay,Semantic Integration of Environmental Models for Application to Global Information Systems and Decision-Making,1999,SIGMOD Record,journals/sigmod/Mackay99
1,"Viswanath Poosala, Yannis E. Ioannidis",Estimation of Query-Result Distribution and its Application in Parallel-Join Load Balancing,1996,VLDB,conf/vldb/PoosalaI96
2,"Themistoklis Palpanas, Richard Sidle, Hamid Pirahesh, Roberta Cochrane",Incremental Maintenance for Non-Distributive Aggregate Functions,2002,VLDB,conf/vldb/PalpanasSCP02
3,"Zhao-Hui Tang, Georges Gardarin, Jean-Robert Gruser",Cost-based Selection of Path Expression Processing Algorithms in Object-Oriented Databases,1996,VLDB,conf/vldb/GardarinGT96
4,"Erik G. Hoel, Hanan Samet",Benchmarking Spatial Join Operations with Spatial Output,1995,VLDB,conf/vldb/HoelS95
5,Daniel A. Keim,Efficient Geometry-based Similarity Search of 3D Spatial Databases,1999,SIGMOD Conference,conf/sigmod/Keim99
6,Aris M. Ouksel,Mining the World Wide Web: An Information Search Approach - Book Review,2002,SIGMOD Record,journals/sigmod/Ouksel02
7,Praveen Seshadri,Enhanced Abstract Data Types in Object-Relational Databases,1998,VLDB J.,journals/vldb/Seshadri98
8,"Nandit Soparkar, Krithi Ramamritham",Report on DART '96: Databases: Active and Real-Time (Concepts meet Practice),1997,SIGMOD Record,journals/sigmod/RamamrithamS97
9,"Phil Janus, Albert D'Andrea",UniSQL's Next-Generation Object-Relational Database Management System,1996,SIGMOD Record,journals/sigmod/DAndreaJ96
10,"Alfons Kemper, Donald Kossmann",Dual-Buffering Strategies in Object Bases,1994,VLDB,conf/vldb/KemperK94
11,"Rajendran M. Sivasankaran, Bhaskar Purimetla, John A. Stankovic, Krithi Ramamritham, Donald F. Towsley",Priority Assignment in Real-Time Active Databases,1996,VLDB J.,journals/vldb/SivasankaranSTPR96
12,"Surojit Chatterjee, Gholamhosein Sheikholeslami, Aidong Zhang",WaveCluster: A Wavelet Based Clustering Approach for Spatial Data in Very Large Databases,2000,VLDB J.,journals/vldb/SheikholeslamiCZ00
13,"Hector Garcia-Molina, Kevin Chen-Chuan Chang",Approximate query mapping: Accounting for translation closeness,2001,VLDB J.,journals/vldb/ChangG01
14,"John C. Shafer, Rakesh Agrawal, Manish Mehta",SPRINT: A Scalable Parallel Classifier for Data Mining,1996,VLDB,conf/vldb/ShaferAM96
15,"Jeff Pavel, Luis Gravano, Aleksandr Voskoboynik, Eugene Agichtein, Viktoriya Sokolova",Snowball: A Prototype System for Extracting Relations from Large Text Collections,2001,SIGMOD Conference,conf/sigmod/AgichteinGV01
16,"Timothy Griffin, Richard Hull",A Framework for Implementing Hypothetical Queries,1997,SIGMOD Conference,conf/sigmod/GriffinH97
17,"Raymond T. Ng, Timos K. Sellis, Yannis E. Ioannidis, Kyuseok Shim",Parametric Query Optimization,1997,VLDB J.,journals/vldb/IoannidisNSS97
18,"Yingwei Cui, Jennifer Widom",Lineage Tracing for General Data Warehouse Transformations,2001,VLDB,conf/vldb/CuiW01
19,Joachim Hammer,Report on the ACM Fourth International Workshop on Data Warehousing and OLAP (DOLAP 2001),2002,SIGMOD Record,journals/sigmod/Hammer02
20,"Jittat Fakcharoenphol, Steve Chien, Ziv Bar-Yossef, Alexander Berg, Dror Weitz",Approximating Aggregate Queries about Web Pages via Random Walks,2000,VLDB,conf/vldb/Bar-YossefBCFW00
21,"Dan Suciu, Daniela Florescu, Alon Y. Levy, Mary F. Fernandez",A Query Language for a Web-Site Management System,1997,SIGMOD Record,journals/sigmod/FernandezFLS97
22,"Elena Ferrari, Pierangela Samarati, Claudio Bettini, Elisa Bertino",Supporting Periodic Authorizations and Temporal Reasoning in Database Access Control,1996,VLDB,conf/vldb/BertinoBFS96
