title,starring,entityUrl,writer,editor
The Silver Lining,Gayne Whitman,Match5316,,
,Karen Blanche Ziegler,Match17874,,
Kannathil Muthamittal,Madhavan Ranganathan,Match15948,Sujatha,
Zeb vs. Paprika,Arthur Stanley Jefferson,Match19260,Al Giebler,
Thinner,Lucinda Jenney,Match3548,Tom Holland,
American Ninja 2: The Confrontation,Michelle Botes,Match11461,Avi Kleinberger,
,Poonam Dhillon,Match11961,Javed Akhtar,
Slipping Wives,Herbert Rawlinson,Match15700,Harry Eugene Roach,
,Utpal Dutt,Match14733,James Francis Ivory,
,Genelia D'Souza,D19,N. Shankar,
Reunion in France,Marion Robert Morrison,Match13166,Marvin Borowsky,
It Happened Here,Reginald Marsh (actor),D111,"Kevin Brownlow
Andrew Mollo",
,Kamal Haasan,D112,,
,Tom Laughlin (actor),Match12824,Tom Laughlin (actor),
Inferno,Irene Miracle,D114,Dario Argento,
Lebenszeichen,Peter Brogle,Match2038,Werner Herzog,
The Warrens of Virginia,Sarah Blanche Sweet,Match1313,William Churchill DeMille,
,Robert John Wagner,Match4954,Wendell Mayes,
Abbott and Costello Go to Mars,Lou Costello,Match16206,John Grant (screenwriter),
,Fania Borach,Match21968,Florence Ryerson,
The Sixth Man,Kadeem Hardison,Match13063,Christopher Reed,
Academy Award for Documentary Feature,,Match14792,,
"Que la barque se brise, que la jonque s'entrouvre","Vantha Talisman
u00C9ric Nguyen",Match511,Rithy Panh,
,Diane Hall,Match22853,Ron Nyswaner,
Evil Ambitions,Paul Morris (actor),Match15438,Mark Burchett,
,August Schellenberg,Match11421,Wendy Wacko,
List of Sundance Film Festival award winners,,Match1464,,
The Sundowners,Peter Alexander Ustinov,Match14628,Isobel Lennart,
Minbo,Yasuo Daichi,Match22597,Juzo Itami,
Corpse Bride,Emily Anita Watson,Match20479,John August,
Golden Films,,D130,Jack Olesker,
Saat Hindustani,Amitabh Bachchan,Match22592,Khwaja Ahmad Abbas,
,Selma Blair Beitner,Match22375,James Ellroy,
Pretty Maids All in a Row,Aristotelis Savalas,Match8529,Gene Roddenberry,
House of the Long Shadows,Christopher Frank Carandini Lee,Match21734,Seven Keys to Baldpate,
,Victoria Principal,Match17865,John Frederick Milius,
,Michel Galabru,Match16708,Marc Perrier,
Escape from Hell,"Anthony Steffen
Ajita Wilson
Cristina Lau
Cintia Lodetti",Match923,"Sergio Chiusi
Roberto Estu00E9vez
Anthony La Penna
Edoardo Mulargia",
Claustrophobia,Judith O'Dea,Match4,Mark Tapio Kines,
The Trial of Madame X,"Mara Russell-Tavernan
Paul England",Match16829,Alexandre Bisson,
Under Two Flags,Richmond Reed Carradine,Match1886,,
,Jr NTR,D141,Pruthvi Raj,
Serial (film),,Match9094,,
,Luke Bishop,D143,Kathleen Byrson,
The Time Traveler's Wife,Rachel McAdams,Match16103,Bruce Joel Rubin,
,Jerzy Fedorowicz,Match20297,Krzysztof Kie?lowski,
,Plácido Domingo,D146,Alexandre Dumas fils,
,Robin Gross,Match526,Fate,
Police Academy 4: Citizens on Patrol,Michael Winslow,Match1432,Gene Quintano,
8 Heads in a Duffel Bag,David Wayne Spade,Match22052,Tom Schulman,David Holden
Ghosts of Mars,Pamela Suzette Grier,Match20802,John Howard Carpenter,
,Suzanna Leigh,Match20031,Tudor Gates,
,Larry Fine (actor),Match18978,,
,Carol Creighton Burnett,Match16712,"Mark Ganzel
Barry Kemp",
,Eiji Wentz,Match8459,Toshiki Inoue,
Don't Look Now,Donald McNichol Sutherland,Match3995,Daphne du Maurier,
One More Time,Maggie Wright,Match21022,Michael Pertwee,
His Favourite Pastime,Charles Chaplin,Match8735,Craig Hutchinson,
Un Chant d'Amour,Java (actor),Match18752,Jean Genet,
,Ruth Elizabeth Davis,Match3415,"David Greene
Barry Oringer",
Wild Country,Martin Compston,Match14631,Craig Strachan,
,Sombat Metanee,D161,Rattan Pestonji,
,Randy Piper,Match22845,John Carl Buechler,
,Lori Bowden,D163,,
,Toshiaki Konoe,Match4751,Hiroshi Ushida,
The Squaw Man,Elliott Dexter,Match14795,"Beulah Marie Dix
Edwin Milton Royle",
Caravaggio,Katherine Mathilda Swinton,Match18448,"Derek Jarman
Suso Cecchi d'Amico
Nicholas Ward-Jackson (story)",
Bedtime Story,Shirley Mae Jones,Match2050,Paul Henning,
The Blood of a Poet,Enrique Rivero,Match22220,,
Two English Girls,Kika Markham,Match20666,Henri-Pierre Roché,
,Carol J. Clover,Match14617,,
Columbia Pictures,,D171,,
"Luke, Patient Provider",Harold Lloyd,Match2697,,
Blood Feast,Lyn Bolton,Match18100,David F. Friedman,
Sweet Dreams,Jessica Phyllis Lange,Match14302,Robert Getchell,
,Rehan,D175,,
Country Dance,Michael Craig,Match8630,James Kennaway,
The Seeker,Frances Conroy,D177,John Hodge,
,Bob Dylan,Match2531,,
Mysterious Skin,Mary Lynn Rajskub,Match14341,Scott Heim,
Alien Love Triangle,Kenneth Charles Branagh,Match15488,John Hodge (screenwriter),
,Lisa Edelstein,Match14308,Peter Michael Paige,
Dead Man,Gary Farmer,Match16287,James R. Jarmusch,
,Dave Grohl,D183,Jed Shepherd,
,,Match5233,Kaneto Shindô,
Lone Wolf and Cub: Baby Cart in Land of Demons,Tomisaburo Wakayama,D185,Goseki Kojima,
Starman,Karen Jane Allen,Match8682,Bruce A. Evans,
Saved!,Eva Amurri,Match5487,Michael Urban,
,Jacquiline Alice Newlin,Match18014,Ralph Spence,
The Girl In The Park,Catherine Ann Bosworth,D189,David Auburn,
Sublime,Katherine Cunningham-Eves,D190,Erik Jendresen,
The Barbarian and the Geisha,Marion Robert Morrison,Match8474,Ellis St. Joseph,
,Igor Ilyinsky,Match20993,Eldar Ryazanov,
Police Academy 5: Assignment Miami Beach,Matt McCoy (actor),Match997,Neal Israel,
Light Sleeper,Dana Delany,Match21911,Paul Schrader,
Blade Movies,Leonor Varela Palma,Match14267,David S. Goyer,
Midnight Express,Randall Rudy Quaid,Match300,William Hoffer,
La venus maldita,José Luis López Vázquez,Match2677,;(story),
,Jacques Michel Andre Sarrazin,D198,Max Ehrlich,
,Jimmy Aubrey,Match4031,Tom Buckingham,
Call Me,Boyd Gaines,Match21068,Karyn Kay,
Computer-animated films,Jay Leno,Match17224,Jon Vitti,
Baise-moi,Karine Bach,Match18654,Virginie Despentes,
,Nassar(actor),D1103,,
,Prithviraj Kapoor,Match1971,Virendra Sinha,
Rhapsody,John Ericson (Actor),Match17465,Henry Handel Richardson,
She Married Her Boss,Lily Claudette Chauchoin,Match21923,Gregory La Cava,
Carbon Copy,Denzel Washington,Match22060,Stanley Shapiro,
Shaolin Warrior,"Chia-Liang Liu
Chia Hui Liu",Match10498,,
Yoju Toshi,Michael Lee Reynolds,Match18631,Kisei Choo,
Day of the Roses,Paul Mercurio,Match21073,,
The Bad Lands,Henry DeWitt Carey II,Match3890,Harvey Gates,
,Venantino Venantini,Match17583,,
,Coleen Gray,Match11198,Jo Eisinger,
,,Match270,"Peter Alton

Peter Spirer",
Adventureland,Kristen Jaymes Stewart,D1115,Greg Mottola,
Okka Magaadu,"Nandamuri Bala Krishna, Simran, Anushka, Nisha Kothari",D1116,Chinthapalli Ramana,
Camp Nowhere,Marnette Patterson,Match9593,Eliot Wald,
The Burning of the Red Lotus Temple,,D1118,"Zhengqiu Zheng,Shang K'ai-jan",
Pacific Heights,Michael John Douglas,Match466,Daniel Pyne,
,Irene Marie Dunn,Match7629,Lloyd C. Douglas,
,Jeremy Sisto,Match4426,Suzette Couture,
City Hall,Alfredo James Pacino,Match1043,Bo Goldman,
,Larry Fine (actor),Match2964,John Grey,
Plein soleil,Maurice Ronet,Match21256,Paul Gégauff,
Heavy Traffic,"Joseph Kaufmann
Beverly Hope Atkinson
Frank DeKova
Terri Haven
Mary Dean Lauria",Match3400,Ralph Bakshi,
,Jayne Heitmeyer,D1126,Mark Sevi,
Mackenna's Gold,Michel Demitri Chalhoub,Match5077,Carl Foreman,
Master of the Flying Guillotine,Kam Kang,Match20212,Jimmy Wang Yu,
L'Homme qui vendit son u00E2me au diable,,Match21406,,
The Land Before Time VIII: The Big Freeze,Anndi McAfee,Match10806,John Loy,
,Joseph Vijay Chandrasekhar,D1131,,
Operation Condor 2: The Armour of the Gods,u9673u6E2Fu751F (Chan Kong Sang),D1132,u9673u6E2Fu751F (Chan Kong Sang),
Lloyd's of London,Edith Madeleine Carroll,Match3895,Walter Ferris,
Vertigo,Barbara Bel Geddes,Match3109,Boileau-Narcejac,
Serial (film),,Match2010,,
Daai chek liu,Cheung Siu-Fai,Match3445,Yip Tin-Shing,
Road Gang,Kay Linaker,Match15044,Dalton Trumbo,
,Pran,Match10182,Vijay Anand,
,Bhoomika Chawla,Match3100,Bala,
,William Davis Garwood Jr.,Match10958,,
,Meiko Kaji,Match17813,Manga,
A Midnight Clear,Kevin Dillon,Match863,William Wharton,
The Bros.,Joey Fatone,Match21652,Jonathan Figg,
,Diane Varsi,Match7602,Robert Thom,
Serial (film),Raymond Benard,Match243,Ronald Davidson,
The Champ,Richard Bartlett Schroder,Match20268,Walter Newman (screenwriter),
District B13,Bibi Naceri,Match991,Luc Besson,
,Justin Whalin,Match22574,Paul Anthony,
Bad Boys,Joseph Peter Pantoliano,Match14312,Doug Richardson,
,Malini Fonseka,D1150,,
,William Millar,Match4450,Aaron Spelling,
Accumulator 1,Zden?k Sv?rák,Match6835,Jan Sv?rák,
Republic Pictures,Stanley Price,Match7275,Ronald Davison,
,Emmanuelle Vaugier,D1154,Matthew Leutwyler,
Paradise Road,Julianna Luisa Margulies,Match14158,Betty Jeffrey,
,Cornelius Crane Chase,Match9906,Neil Simon,
Harry and Tonto,Cliff De Young,Match7344,Josh Greenfeld,
Rikyu,Rentaro Mikuni,Match14718,Genpei Akasegawa,
Brewster's Millions,John Franklin Candy,Match15020,George Barr McCutcheon,
Vivah,Amrita Rao,D1160,Sooraj R. Barjatya,
,Tim Conway,Match4183,Tim Conway,
,,Match1350,Nicholas Mosley,
,Craig Sheffer,Match7660,Joel Soisson,
Tuntematon sotilas,Kosti Klemelä,Match10573,Väinö Linna,
,Ed Begley Jr.,Match20886,Janet McClean,
,Georges Corraface,Match21855,Vicente Aranda Ezguerra,
,Kati Outinen,D1167,Timo Puustinen,
Satya,J.D Chakravarthy,Match10143,Anurag Kashyap,
Ruggles of Red Gap,Charles Laughton,Match16149,Walter DeLeon,
Attack of the Puppet People,John Agar,Match7086,George Worthing Yates,
,Cuba Gooding Jr.,Match25,Saladin K. Patterson,
Crossing Delancey,Amy Davis Irving,Match5062,Susan Sandler,
,Vincent Van Patten,Match21019,Randy Feldman,
Trial and Error,Jeff Daniels (actor),Match4663,"Sara Bernstein
Gregory Bernstein",
,Wojciech Pokora,D1175,Stanis?aw Bareja,
Renegades,,D1176,,
,Ruby Catherine Stevens,Match3114,Ketti Frings,
Hope Floats,Sandra Annette Bullock,Match14529,Steven Rogers,
,Alan Badel,D1179,Sidney Carroll,
Fata Morgana,"Marianne Benet
Antonia Casas
Alberto Dalbu00E9s
Antonio Ferrandis",Match16752,Gonzalo Suárez,
,Kamal Haasan,D1181,,
,Shraga Herpaz<BR>Niza Shaul<BR>Shimeon Finkel<BR>Hana Maron<BR>Andy Richman<BR>Anat Azmon,Match11146,Yaky Yosha,
,Claude Marion Akins,Match8489,Larry Jeff McMurtry,
Eklavya: The Royal Guard,Vidya Balan,D1184,Swanand Kirkire,
,Neena Gupta,Match16366,Apurba Kishore Bir,
The Left Hand of God,Agnes Robertson Moorehead,Match933,Alfred Hayes,
,Mahjabeen Bano,Match5536,,
,Anthony Andrews,Match2227,Timothy Prager,
,Leo McKern,Match16821,Stanley Mann,
Republic Pictures,James Craven,Match7273,Lynn Perkins,
,Alan Mowbray,Match245,Lenore J. Coffee,
,Shari Shattuck,D1192,Hugh Parks,
,Susan Cummings (actress),Match8190,David Stern,
,Catherine u00C9lise Blanchett,Match4290,Les Charles,
Rondo,Relja Baši?,Match9528,Zvonimir Berkovi?,
The Agony and the Ecstasy,John Charles Carter,Match143,Irving Stone,
Meeting Resistance,,D1197,"Molly Bingham
Steve Connors",
,Ann Robinson,Match5371,"Ivan Shane
Maxwell Shane
Ivan Tors",
I Was a Teenage Frankenstein,Phyllis Coates,Match2599,Herman Cohen,
Cycle Psycho,Alfred Alderdice,D1200,John Lawrence,
,Issur Danielovitch,Match14495,"Irving Stone (novel)
Norman Corwin",
,Harry Moses Horwitz,Match12631,,
Valiant,Richard Michael Mayall,Match8332,Jordan Katz,
Rio Bravo,Marion Robert Morrison,Match16427,Jules Furthman,
War of the Worlds,Timothy Francis Robbins,Match6721,H. G. Wells,
Palmetto,Elizabeth Shue,Match5448,James Hadley Chase,
The Lonedale Operator,Verner Clarges,Match1936,Mack Sennett,
,William Davis Garwood Jr.,Match16018,Daniel Carson Goodman,
Rockin' with Judy Jetson,Ruth Buzzi,Match5005,William Hanna,
,Dyanne Maurer,D1210,Marven McGara,
"Sorry, Haters",Abdel Kechiche,Match11828,Jeff Stanzler,
Gilda Live,Gilda Susan Radner,Match4730,"Mike Nichols
Anne Beatts",
,Konidela Siva Sankara Vara Prasad,D1213,,
Andrey Rublyov,Nikolai Grinko,Match2371,Andrei Arsenyevich Tarkovsky,
Bucking Broadway,Henry DeWitt Carey II,Match11140,George Hively,
Transylvania 6-5000,Rudy De Luca,Match4355,Rudy De Luca,
,William Davis Garwood Jr.,Match206,,
,Mamta Kulkarni,Match3670,,
The Ultimate Gift,Brian Manion Dennehy,D1219,Cheryl McKay,
,Tony Anselmo,Match8477,Kevin Campbell,
,Dale Hopkins,Match16703,Thomas Matthiesen,
Alvin Purple Rides Again,Graeme Blundell,Match12970,Tim Burstall,
,Malcolm Smith (motorcyclist),Match13439,,
,Cecilia Cheung,Match11844,Wai Ka-Fai,
,David Warbeck,D1225,Tudor Gates,
Mikau00EBl,Max Auzinger,D1226,Carl Theodor Dreyer,
,Tsu Kobayashi,Match12030,Berne Giler,
Fortress,Rachel Ward,Match11949,Gabrielle Lord,
Black Hole,Kristy Swanson,Match1730,David Goodin,
Bad Dreams,Sy Richardson,Match9126,P.J. Pettiette,
,Joe Ely,Match5193,,
Zaza,Constance Collier,Match15199,Charles Simon,
,Andrei Arsenyevich Tarkovsky,Match12525,Alexander Sokurov,
The Red Badge of Courage,Douglas Dick,Match9944,Stephen Crane,
Serial (film),Judy Clark,Match2657,Ray Bailey,
The Good Night,Daniel Michael DeVito Jr.,D1236,Jake Paltrow,
Nothing to Lose,"Arisara Wongchalee
Pierre Png",Match5780,Danny Pang,
,Tangi Miller,D1238,Mark Jones (screenwriter),
Supergator,Brad Johnson,D1239,Brian Clyde,
One Man's Journey,Dorothy Jordan (actress),Match650,Katharine Havilland-Taylor,
Kaliyugaya,"Punya Heendeniya
Henry Jayasena
Trelicia Gunawardena
Wickrema Bogoda",Match2609,A.J. Gunawardena,
,"Yamila Greco
 Eduardo Poli
 Andrea Alfonso
 Rodrigo Bianco
 Silvia Paz
 Salvador Haidar",D1242,Mariano Peralta,
,,D1243,Michael Sauter,
,?erif Sezer,D1244,Ça?an Irmak,
Vampire Circus,Adrienne Riccoboni,Match13060,Judson Kinberg,
The Coastline,,D1246,,
,Dolores Moran,Match21192,,
,Jeetendra,Match20917,,
,William Davis Garwood Jr.,Match8831,,
,Wallace Fitzgerald Beery,D1250,,
Gwendoline,Jean Rougerie,Match14433,Just Jaeckin,
,"Hobart Bosworth
Betty Harte",Match13690,George F. Fish,
A Home at the End of the World,Mary Elizabeth Spacek,Match15071,Michael Cunningham,
,Donald David Dixon Ronald Ou2019Connor,Match9403,"Lamar Trotti (story)
Phoebe Ephron
Henry Ephron",
,"Othon Bastos
 Mauru00EDcio do Valle",Match5642,,
,Nalini Murthy,Match16361,Poornachandra Tejaswi,
The Mirror,,Match16253,,
Pat and Mike,Charles Dennis Buchinsky,Match12,Garson Kanin,
Genie Award for Best Motion Picture,Lothaire Bluteau,Match916,Robert Lepage,
Party,Rohini Oak,Match16802,Govind Nihalani,
The Computer Wore Tennis Shoes,Kurt Vogel Russell,Match13274,Joseph L. McEveety,
Rain Without Thunder,Betty Lynn Buckley,Match17026,Gary Bennet,
Mabel and Fatty's Married Life,Roscoe Arbuckle,Match6556,,
Sissi - Die junge Kaiserin,Rosemarie Magdalena Albach-Retty,Match10157,Ernst Marischka,
Contract Killers,Nick Mancuso,D1265,Justin B. Rhodes,
,Tony Lorea,Match1303,Tony Huston,
Gangster No. 1,David Wheeler,Match1969,Johnny Ferguson,
George of the Jungle,John Marwood Cleese,Match21138,Audrey Wells,
Freedom Writers,Patrick Galen Dempsey,Match15591,The Freedom Writers Diary,
,Jérémy Sanguinetti,Match8740,Etienne Faure,
Akasa Veedhilo,Gadde Rajendra Prasad,Match10211,Singeetam Srinivasa Rao,
,The Snow Queen (1957 film)#Voices,Match12726,Nikolai Erdman,
,Selma Blair Beitner,D1273,Tad Stones,
An Everlasting Piece,Brían F. O'Byrne,Match8475,Barry McEvoy,
,"Nandamuri Bala Krishna, Tabu, Shriya, Chalapathi Rao, Devayani, Jayaprakash Reddy",D1275,Ratnam,
Mon beau-fru00E8re a tuu00E9 ma soeur,,Match6168,Georges Conchon,
,Sacha Noam Baron Cohen 1987,Match10784,Sacha Noam Baron Cohen 1987,
Guyana Tragedy: The Story of Jim Jones,"Levardis Robert Martyn Burton, Jr.",Match2349,Ernest Tidyman,
,Pentti Siimes,D1279,Kaarlo Nuorvala,
Abby,Austin Stoker,Match20322,G. Cornell Layne,
Quick Change,Philip Bosco,Match15273,Howard Franklin,
,Kadour Ziani,D1282,Azur Allen,
Genie Award for Best Motion Picture,Gilles Maheu,Match7129,Jean-Claude Lauzon,
All of Me,Richard Libertini,Match2454,Henry Olek,
Vertical Limit,Christopher Eugene O'Donnell,Match13879,Terry Hayes,
Never Die Alone,DMX (rapper),Match10947,James Gibson (writer),
,Ann-Margret Olsson,D1287,Tennessee Williams,
,Stepan Shagaida,Match22180,Alexander Dovzhenko,
The Bushido Blade,Richard Boone,Match11177,,
,Rafe Joseph Spall,Match17364,Stewart Harcourt,
,u0E40u0E1Eu0E0Au0E23u0E32 u0E40u0E0Au0E32u0E27u0E23u0E32u0E29u0E0Eu0E23u0E4C,D1291,,
Metro,Shiney Ahuja,D1292,Anurag Basu,
Cold Creek Manor,Dennis William Quaid,Match11184,Richard Jeffries,
,James Stewart (actor),Match8692,Owen Crump,
,Valérie Lemercier,Match13094,Christopher Thompson,
,,D1296,Pao Lei,
,Björn Hlyndur Haraldsson,Match13600,Arnaldur Indriðason,
The Baxter,Michael Showalter,Match8819,Michael Showalter,
,Harry Dean Stanton,Match16207,David Rayfiel,
The Mothman Prophecies,Laura Linney,Match16558,Lewis Klahr,
Korczak,Ewa Dalkowska,D1301,Agnieszka Holland,
Dirty Hands,,D1302,Cetywa Powell,
Encino Man,Brendan Fraser,Match14328,"George Zaloom
Shawn Schepps",
Faustrecht der Freiheit,Rainer Werner Fassbinder,Match6710,Christian Hohoff,
The Crimes of Stephen Hawke,Graham Soutten,Match15358,Tod Slaughter,
Frostbiten,"Petra Nielsen, Grete Havnesku00F6ld, Jonas Karlstru00F6m & Emma u00C5berg",Match5675,Daniel Ojanlatva & Pidde Andersson,
National Lampoon Goes the the Movies,Richard Windmark,Match10103,Gerald Sussman,
,William Davis Garwood Jr.,Match6719,,
,Heart Evangelista,Match11089,,
The Facts of Life,Lucille Du00E9siru00E9e Ball,Match19819,Melvin Frank,
,Paul Rodgers,D1311,,
Jury Prize (Cannes Film Festival),Bruce Jones,Match11851,Jim Allen,
,Deryck Whibley,D1313,,
You Only Live Once,Henry Jaynes Fonda,Match16076,Gene Towne,
,Eric Caravaca,Match13707,Christophe Honore,
,Theodor Friedrich Emil Janenz,Match14870,Carl Mayer,
,John Stephen Goodman,Match7716,Roger Gould,
Athanokkade,Kalyan Ram,D1318,Surender Reddy,
,Soha Ali Khan,Match22686,Imtiaz Ali,
,Mukesh Khanna,Match11754,,
,Turhan Bey,Match15730,Edward Locke,
Atoll K,Suzy Delair,Match22625,"John D. Klorer
Frederick Kohner
Piero Tellini
Renu00E9 Wheeler",
The Final Option,Lewis Collins,Match13351,Reginald Rose,
,Monica Bellucci,D1324,Carl Austin,
,Haidar Khan,Match11829,Terry Ramsaye,
Blades of Glory,Rob Corddry,Match6914,Jeff Cox,
Fearless,Benicio Monserrate Rafael del Toro Su00E1nchez,Match11866,Rafael Yglesias,
Darling,Fardeen Khan,D1328,Kusum Punjabi,
Ocean's Thirteen,Eddie Izzard,Match7179,Brian Koppelman,
,Käthe Haack,Match9721,Hans Brennert,
Children of Divorce,Esther Ralston,Match6466,Owen Johnson,
Street Smart,Christopher Reeve,Match16282,David Freeman,
,Rutger Oelsen Hauer,Match7023,Charles Robert Carner,
,Allari Naresh,D1334,"Varaprasad varma
EVV Satyanarayana",
"Merry Christmas, Mr. Lawrence",Thomas Conti,Match12801,Nagisa Oshima,
The Sky is Falling,Dedee Pfeiffer,Match7210,Florrie Laurence,
Acciu00F3n mutante,Fernando Guillén,Match6213,Álex de la Iglesia,
The Longest Night in Shanghai,Zhao Wei,D1338,Yuji Yamamura,
,Valentinas Masalskis,Match22250,Algimantas Puipa,
,Joel Solomon Cohen,Match17689,Talbot Rothwell,
A Walk to Remember,Mandy Moore,Match21450,Nicholas Sparks (author),
The Glass Mountain,Michael Denison,Match20825,Emery Bonnet,
Truth in Numbers: The Wikipedia Story,Lawrence Lessig,D1343,,
Robin's Big Date,Justin Jake Long,Match14399,Will Carlough,
,Elke Schletz,Match6045,"Christian Rateuke
Hartmann Schmige",
Texas Rangers,Mark Anthony McDermott,Match20633,George Durham,
,Zeenat Aman,Match17200,,
,Eugenie Forde,Match19234,,
La Battaglia dell'ultimo panzer,Guy Madison,Match5385,"Giuseppe Chiarolla
Giuliana Garavaglia
Josu00E9 Luis Merino",
Zyzzyx Rd.,Leo Grillo,D1350,John Penney,
,Mumtaz Begum Jehan Dehlavi,Match17244,,
The Trail of Hate,John Martin Feeney,Match19606,John Martin Feeney,
The Cars That Ate Paris,Terry Camilleri,Match4931,Peter Lindsay Weir,
,Michael Jackson,Match17429,Michael Jackson,
,Tito Alonso,Match7517,Raimundo Calcagno,
Yaadein,Balraj Dutt,Match16718,Akhtar-Ul-Iman,
Black Moon,Cathryn Harrison,Match13127,Ghislain Uhry,
The Tenderfoot's Money,Henry DeWitt Carey II,Match21944,Stanner E.V. Taylor,
House Party,Full Force,Match11484,Reginald Hudlin,
,Gregory Walcott,D1360,"Harry Kleiner
(story)
Art Cohn",
In My Father's Den,Miranda Otto,Match18727,Maurice Gee,
,Archibald Alec Leach,Match13643,Thomas Leo McCarey,
,Madhavan Ranganathan,D1363,Yogesh Vinayak Joshi,
Phir Milenge,Salman Khan,Match21979,Atul Sabharwal,
,Silambarasan,D1365,,
Get Smart,Masayori Oka,Match2970,"Tom J. Astle
Matt Ember",
,Trevor Snowdin,D1367,Derek Westerlund,
,Liv Johanne Ullmann,Match15936,Agnieszka Holland,
Plunkett & Macleane,Matthew Richard Lucas,Match3259,,
Perfect Friday,Ursula Andress,Match13254,Conrad Scott Forbes,
Academy Award for Documentary Feature,Emperor Penguin,Match12661,Michel Fessler,
Dog Day Afternoon,Alfredo James Pacino,Match15576,Frank Pierson,
,Delphine Zentout,Match12204,"Catherine Breillat
Roger Salloch",
,Jason Scott Lee,Match3258,Joel Soisson,
Masked,Hoot Gibson,Match18250,Harvey Gates,
Under Cover Man,,Match20137,John Wilstach,
,L. B. Sriram,Match17517,,
,William Forsythe (actor),Match2005,Kenneth M. Badish,
,,Match3840,Andrew Bampfield,
,Judy Malcolm,Match20490,Felix Adler,
,Jean Stapleton,Match20861,"Allen Estrin
Cindy Marcus
Flip Kobler",
Space Cowboys,"Clinton Eastwood, Jr.",Match3021,Ken Kaufman,
,Michael Hordern,D1383,A. J. Cronin,
,Mariel Hadley Hemingway,Match18832,Mike Binder,
Till glu00E4dje,Birger Malmsten,D1385,Ingmar Bergman,
,Helen Westcott,Match14446,David Lang,
,Cornelia Otis Skinner,Match7548,Frank Partos,
The Secret Fury,Lily Claudette Chauchoin,Match3303,Lionel Houser,
Elegy,Krishna Bhanji,D1389,Nicholas Meyer,
Futurama: Bender's Big Score,Maurice LaMarche,Match3495,Ken Keeler,
,"Ivo Livi, born of Catholic peasants in Italy",Match5110,Henri Verneuil,
,Tusshar Kapoor,D1392,,
Scarfies,Willa O'Neill,D1393,Duncan Sarkies & Robert Sarkies,
,JJ Rousseau,D1394,,
,Mel Blanc,Match2247,Tedd Pierce,
The Day of the Locust,Karen Blanche Ziegler,Match11591,Waldo Salt,
Where the Green Ants Dream,Bruce Spence,Match2775,Bob Ellis,
,Linda Ballantyne,Match19826,Britt Allcroft,
Amorosa,Stina Ekblad,Match7847,Mai Zetterling,
,Donald Sumpter,Match18346,Derek Ford,
,Ferrah Leni Fawcett,Match15144,Michael Sarne,
Strange Days,Angela Bassett,Match14580,Jay Cocks,
Madhumasam,Suhasini Rajaram Naidu,D1403,"Chandra Siddhartha (screenplay) 
 Satyanand (dialogue) 
 Balabhadrapatruni Ramani (novel)",
Dus,Raveena Tandon,D1404,Mukul S. Anand,
,Tak Sakaguchi,Match12844,Yudai Yamaguchi,
,Leo Gordon,Match13803,Leo Gordon,
,Punya Heendeniya,D1407,P. K. D. Seneviratne,
Il Ladro di bambini,Giuseppe Ieracitano,Match22068,Sandro Petraglia,
,Rainbow Harvest,Match22132,Marisa Silver,
Dark Harvest,Jessica Dunphy,Match11875,Paul Moore,
Eraserhead,Charlotte Stewart,Match17844,David Keith Lynch,
,Sabiha,D1412,Hasan Imtisal,
,Robert Selden Duvall,Match22093,Elliott Baker,
,Francis Xavier Aloysius James Jeremiah Keenan Wynn,Match3240,Jim Lehrer,
Stardust,Adam Faith,Match22846,Ray Connolly,
Short Cuts,Fred Ward,Match20852,Raymond Carver,
Going Upriver,,Match18595,Douglas Brinkley,
Beyond Evil,Janice Lynde,Match20495,"David Baughn
Herb Freed
Paul Ross",
,Cedric Webster Hardwicke,Match14,W. P. Lipscomb,
,Joseph Frank Keaton VI,Match816,Clyde Bruckman,
Narco,Guillaume Canet,Match1060,"Alain Attal (story)
Philippe Lefebvre (story)
Gilles Lellouche",
Renegades,,Match20124,André Armandy,
,Pran,Match20205,,
Golden Lion,Vladimir Vujoviu0107,Match11770,Henri-Georges Clouzot,
,Caroline Cellier,Match17842,Paul Gégauff,
Planet of the Apes,Maurice Evans (actor),Match333,Rod Serling,
,Ralf Möller,Match19729,Uwe Boll,
