id,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.okkam.org/ontology_restaurant1.owl#name,entityUrl,http://www.okkam.org/ontology_restaurant1.owl#phone_number,http://www.okkam.org/ontology_restaurant1.owl#has_address,http://www.okkam.org/ontology_restaurant1.owl#category,http://www.okkam.org/ontology_restaurant1.owl#is_in_city,http://www.okkam.org/ontology_restaurant1.owl#street
0,http://www.okkam.org/ontology_restaurant1.owl#City,new york,http://www.okkam.org/oaie/restaurant1-City65,,,,,
1,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,la grotta,http://www.okkam.org/oaie/restaurant1-Restaurant85,404/231-1368,http://www.okkam.org/oaie/restaurant1-Address85,italian,,
2,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,fenix,http://www.okkam.org/oaie/restaurant1-Restaurant7,213/848-6677,http://www.okkam.org/oaie/restaurant1-Address7,american,,
3,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address101,,,,http://www.okkam.org/oaie/restaurant1-City101,570 4th st.
4,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address60,,,,http://www.okkam.org/oaie/restaurant1-City60,43 w. 65th st.
5,http://www.okkam.org/ontology_restaurant1.owl#City,new york,http://www.okkam.org/oaie/restaurant1-City35,,,,,
6,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,rainbow room,http://www.okkam.org/oaie/restaurant1-Restaurant55,212/632-5000,http://www.okkam.org/oaie/restaurant1-Address55,or 212/632-5100 american,,
7,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address30,,,,http://www.okkam.org/oaie/restaurant1-City30,2 harrison st.  near hudson st.
8,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,aureole,http://www.okkam.org/oaie/restaurant1-Restaurant25,212/ 319-1660,http://www.okkam.org/oaie/restaurant1-Address25,american,,
9,http://www.okkam.org/ontology_restaurant1.owl#City,atlanta,http://www.okkam.org/oaie/restaurant1-City77,,,,,
10,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,cafe claude,http://www.okkam.org/oaie/restaurant1-Restaurant97,415/392-3505,http://www.okkam.org/oaie/restaurant1-Address97,french,,
11,http://www.okkam.org/ontology_restaurant1.owl#City,los angeles,http://www.okkam.org/oaie/restaurant1-City6,,,,,
12,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address72,,,,http://www.okkam.org/oaie/restaurant1-City72,2880 las vegas blvd. s
13,http://www.okkam.org/ontology_restaurant1.owl#City,new york,http://www.okkam.org/oaie/restaurant1-City47,,,,,
14,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,chin's,http://www.okkam.org/oaie/restaurant1-Restaurant67,702/733-8899,http://www.okkam.org/oaie/restaurant1-Address67,asian,,
15,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address42,,,,http://www.okkam.org/oaie/restaurant1-City42,160 central park s
16,http://www.okkam.org/ontology_restaurant1.owl#City,los angeles,http://www.okkam.org/oaie/restaurant1-City17,,,,,
17,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,island spice,http://www.okkam.org/oaie/restaurant1-Restaurant37,212/765-1737,http://www.okkam.org/oaie/restaurant1-Address37,tel caribbean,,
18,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address12,,,,http://www.okkam.org/oaie/restaurant1-City12,8284 melrose ave.
19,http://www.okkam.org/ontology_restaurant1.owl#City,san francisco,http://www.okkam.org/oaie/restaurant1-City101,,,,,
20,http://www.okkam.org/ontology_restaurant1.owl#City,atlanta,http://www.okkam.org/oaie/restaurant1-City89,,,,,
21,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address84,,,,http://www.okkam.org/oaie/restaurant1-City84,1397 n. highland ave.
22,http://www.okkam.org/ontology_restaurant1.owl#City,new york,http://www.okkam.org/oaie/restaurant1-City59,,,,,
23,http://www.okkam.org/ontology_restaurant1.owl#Restaurant,ciboulette,http://www.okkam.org/oaie/restaurant1-Restaurant79,404/874-7600,http://www.okkam.org/oaie/restaurant1-Address79,french,,
24,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address6,,,,http://www.okkam.org/oaie/restaurant1-City6,6703 melrose ave.
25,http://www.okkam.org/ontology_restaurant1.owl#Address,,http://www.okkam.org/oaie/restaurant1-Address54,,,,http://www.okkam.org/oaie/restaurant1-City54,95 ave. a at 6th st.
