id,http://www.okkam.org/ontology_restaurant2.owl#has_category,http://www.okkam.org/ontology_restaurant2.owl#phone_number,http://www.okkam.org/ontology_restaurant2.owl#name,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.okkam.org/ontology_restaurant2.owl#has_address,entityUrl,http://www.okkam.org/ontology_restaurant2.owl#city,http://www.okkam.org/ontology_restaurant2.owl#street
0,http://www.okkam.org/oaie/restaurant2-Category58,212-677-0606,second avenue deli,http://www.okkam.org/ontology_restaurant2.owl#Restaurant,http://www.okkam.org/oaie/restaurant2-Address58,http://www.okkam.org/oaie/restaurant2-Restaurant58,,
1,,,asian,http://www.okkam.org/ontology_restaurant2.owl#Category,,http://www.okkam.org/oaie/restaurant2-Category172,,
2,,,,http://www.okkam.org/ontology_restaurant2.owl#Address,,http://www.okkam.org/oaie/restaurant2-Address607,new york city,368 bleecker st.
3,,,,http://www.okkam.org/ontology_restaurant2.owl#Address,,http://www.okkam.org/oaie/restaurant2-Address57,new york city,240 central park s.
4,http://www.okkam.org/oaie/restaurant2-Category615,212-673-3783,il mulino,http://www.okkam.org/ontology_restaurant2.owl#Restaurant,http://www.okkam.org/oaie/restaurant2-Address615,http://www.okkam.org/oaie/restaurant2-Restaurant615,,
5,,,,http://www.okkam.org/ontology_restaurant2.owl#Address,,http://www.okkam.org/oaie/restaurant2-Address148,los angeles,8764 melrose ave.
6,http://www.okkam.org/oaie/restaurant2-Category146,213/667-0777,louise's trattoria,http://www.okkam.org/ontology_restaurant2.owl#Restaurant,http://www.okkam.org/oaie/restaurant2-Address146,http://www.okkam.org/oaie/restaurant2-restaurant246,,
7,,,,http://www.okkam.org/ontology_restaurant2.owl#Address,,http://www.okkam.org/oaie/restaurant2-Address695,atlanta,2905 buford hwy.
8,,,southern/soul,http://www.okkam.org/ontology_restaurant2.owl#Category,,http://www.okkam.org/oaie/restaurant2-Category644,,
9,,,,http://www.okkam.org/ontology_restaurant2.owl#Address,,http://www.okkam.org/oaie/restaurant2-Address442,las vegas,129 e. fremont st.
10,http://www.okkam.org/oaie/restaurant2-Category450,702/876-4190,venetian,http://www.okkam.org/ontology_restaurant2.owl#Restaurant,http://www.okkam.org/oaie/restaurant2-Address450,http://www.okkam.org/oaie/restaurant2-Restaurant450,,
11,,,mediterranean,http://www.okkam.org/ontology_restaurant2.owl#Category,,http://www.okkam.org/oaie/restaurant2-Category185,,
12,http://www.okkam.org/oaie/restaurant2-Category628,212-989-1367,mitali east-west,http://www.okkam.org/ontology_restaurant2.owl#Restaurant,http://www.okkam.org/oaie/restaurant2-Address628,http://www.okkam.org/oaie/restaurant2-Restaurant628,,
13,http://www.okkam.org/oaie/restaurant2-Category159,310/393-6545,remi,http://www.okkam.org/ontology_restaurant2.owl#Restaurant,http://www.okkam.org/oaie/restaurant2-Address159,http://www.okkam.org/oaie/restaurant2-restaurant259,,
