id,entityId1,entityId2
0,43,1622
1,260,601
2,250,1486
3,179,1474
4,81,1710
5,190,1954
6,23,85
7,208,1850
8,258,292
9,194,0
10,171,1001
11,161,527
12,125,162
13,119,2244
14,183,1781
15,247,1725
16,219,60
17,322,443
18,95,990
19,254,1795
20,167,694
21,98,1301
22,273,1381
23,40,1764
24,229,539
25,71,1235
26,6,1391
27,101,1154
28,29,392
29,173,1310
30,115,1944
31,280,1196
32,77,1403
33,301,549
34,157,222
35,263,904
36,291,73
37,10,1561
38,270,1074
39,46,1933
40,8,1698
41,150,51
42,127,2062
43,34,797
44,37,1453
45,33,1147
46,134,630
47,14,1872
48,104,1462
49,65,270
50,294,380
51,196,307
52,59,454
53,164,834
54,73,1095
55,138,938
56,91,685
57,143,1249
58,64,619
59,132,773
60,56,151
61,130,466
62,319,140
63,205,1541
64,69,925
65,147,2003
66,279,1549
67,232,844
68,17,2177
69,283,1858
70,216,1662
71,2,737
72,224,232
73,284,2166
74,333,914
75,306,854
76,329,609
77,158,2130
78,257,2104
79,215,2009
80,1,1084
81,221,369
82,316,2086
83,49,2233
84,107,1772
85,92,331
86,238,1013
87,242,1321
88,286,2021
