title,year,authors,venue
The WASA2 object-oriented workflow management system,1999,"Gottfried Vossen, Mathias Weske",International Conference on Management of Data
A user-centered interface for querying distributed multimedia databases,1999,"Isabel F. Cruz, Kimberly M. James",International Conference on Management of Data
"World Wide Database-integrating the Web, CORBA and databases",1999,"Athman Bouguettaya, Boualem Benatallah, Lily Hendra, James Beard, Kevin Smith, Mourad Quzzani",International Conference on Management of Data
XML-based information mediation with MIX,1999,"Chaitan Baru, Amarnath Gupta, Bertram Lud&#228;scher, Richard Marciano, Yannis Papakonstantinou, Pavel Velikhov, Vincent Chu",International Conference on Management of Data
The CCUBE constraint object-oriented database system,1999,"Alexander Brodsky, Victor E. Segal, Jia Chen, Paval A. Exarkhopoulo",International Conference on Management of Data
The Cornell Jaguar project: adding mobility to PREDATOR,1999,"Phillippe Bonnet, Kyle Buza, Zhiyuan Chan, Victor Cheng, Randolph Chung, Takako Hickey, Ryan Kennedy, Daniel Mahashin, Tobias Mayr, Ivan Oprencak, Praveen Seshadri, Hubert Siu",International Conference on Management of Data
The active MultiSync controller of the cubetree storage organization,1999,"Nick Roussopoulos, Yannis Kotidis, Yannis Sismanis",International Conference on Management of Data
The Jungle database search engine,1999,"Michael B&#246;hlen, Linas Bukauskas, Curtis Dyreson",International Conference on Management of Data
ADEPT: an agent-based approach to business process management,1998,"N. R. Jennings, T. J. Norman, P. Faratin",ACM SIGMOD Record
A componentized architecture for dynamic electronic markets,1998,"Benny Reich, Israel Ben-Shaul",ACM SIGMOD Record
Design and implementation of RMP: a virtual electronic market place,1998,"Susanne Boll, Wolfgang Klas, Bernard Battaglin",ACM SIGMOD Record
Discovering Internet marketing intelligence through online analytical web usage mining,1998,"Alex G. B&#252;chner, Maurice D. Mulvenna",ACM SIGMOD Record
Component-based e-commerce: assessment of current practices and future directions,1998,"Martin Bichler, Arie Segev, J. Leon Zhao",ACM SIGMOD Record
Building database-driven electronic catalogs,1998,Sherif Danish,ACM SIGMOD Record
XML and electronic commerce: enabling the network economy,1998,"Bart Meltzer, Robert Glushko",ACM SIGMOD Record
A workflow-based electronic marketplace on the Web,1998,"Asuman Dogac, Ilker Durusoy, Sena Arpinar, Nesime Tatbul, Pinar Koksal, Ibrahim Cingil, Nazife Dimililer",ACM SIGMOD Record
DBIS-toolkit: adaptable middleware for large scale data delivery,1999,"Mehmet Altinel, Demet Aksoy, Thomas Baby, Michael Franklin, William Shapiro, Stan Zdonik",International Conference on Management of Data
An XJML-based wrapper generator for Web information extraction,1999,"Ling Liu, Wei Han, David Buttler, Calton Pu, Wei Tang",International Conference on Management of Data
Database patchwork on the Internet,1999,"Reinhard Braumandl, Alfons Kemper, Donald Kossmann",International Conference on Management of Data
DOMINO: databases fOr MovINg Objects tracking,1999,"Ouri Wolfson, Prasad Sistla, Bo Xu, Jutai Zhou, Sam Chamberlain",International Conference on Management of Data
The need for distributed asynchronous transactions,1999,"Lyman Do, Prabhu Ram, Pamela Drew",International Conference on Management of Data
Versions and workspaces in Microsoft repository,1999,"Thomas Bergstraesser, Philip A. Bernstein, Shankar Pal, David Shutt",International Conference on Management of Data
Data integration and warehousing in Telecom Italia,1999,"Stefano M. Trisolini, Maurizio Lenzerini, Daniele Nardi",International Conference on Management of Data
Improving OLTP data quality using data warehouse mechanisms,1999,"Matthias Jarke, Christoph Quix, Guido Blees, Dirk Lehmann, Gunter Michalk, Stefan Stierl",International Conference on Management of Data
SERF: ODMG-based generic re-structuring facility,1999,"E. A. Rundensteiner, K. Claypool, M. Li, L. Chen, Z. Zhang, C. Natarajan, J. Jin, S. De Lima, S. Weiner",International Conference on Management of Data
"PowerBookmarks: a system for personalizable Web information organization, sharing, and management",1999,"Wen-Syan Li, Quoc Vu, Edward Chang, Divyakant Agrawal, Kyoji Hirata, Sougata Mukherjea, Yi-Leh Wu, Corey Bufi, Chen-Chuan Kevin Chang, Yoshinori Hara, Reiko Ito, Yutaka Kimura, Kezuyuki Shimazu, Yukiyoshi Saito",International Conference on Management of Data
The Aqua approximate query answering system,1999,"Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala, Sridhar Ramaswamy",International Conference on Management of Data
TAM: a system for dynamic transactional activity management,1999,"Tong Zhou, Ling Liu, Calton Pu",International Conference on Management of Data
Exploratory mining via constrained frequent set queries,1999,"Raymond Ng, Laks V. S. Lakshmanan, Jiawei Han, Teresa Mah",International Conference on Management of Data
Evolvable view environment (EVE): non-equivalent view maintenance under schema changes,1999,"E. A. Rundensteiner, A. Koeller, X. Zhang, A. J. Lee, A. Nica, A. Van Wyk, Y. Lee",International Conference on Management of Data
Phoenix: making applications robust,1999,"Roger Barga, David B. Lomet",International Conference on Management of Data
Nodose version 2.0,1999,"Brad Adelberg, Matthew Denny",International Conference on Management of Data
Bringing object-relational technology to the mainstream,1999,"Vishu Krishnamurthy, Sandeepan Banerjee, Anil Nori",International Conference on Management of Data
Implementing the spirit of SQL-99,1999,Paul Brown,International Conference on Management of Data
Managing Web data,1999,Dan Suciu,International Conference on Management of Data
"O-O, what's happening to DB2?",1999,"M. Carey, D. Chamberlin, D. Doole, S. Rielau, N. Mattos, S. Narayanan, B. Vance, R. Swagerman",International Conference on Management of Data
Hypertext databases and data mining,1999,Soumen Chakrabarti,International Conference on Management of Data
Clustering methods for large databases: from the past to the future,1999,"Alexander Hinneburg, Daniel A. Keim",International Conference on Management of Data
Petabyte databases,1999,Dirk D&#252;llmann,International Conference on Management of Data
A database perspective on Lotus Domino/Notes,1999,C. Mohan,International Conference on Management of Data
Microsoft site server (commerce ed.): Talk-slides available at the conference,1999,Bassel Ojjeh,International Conference on Management of Data
E-commerce database issues and experience: (talk-slides available at at the conference),1999,Anand Rajaraman,International Conference on Management of Data
Merge replication in Microsoft's SQL server 7.0,1999,Brad Hammond,International Conference on Management of Data
In-memory data management for consumer transactions the timesten approach,1999,CORPORATE TimesTen Team,International Conference on Management of Data
EMC information sharing: direct access to MVS data from UNIX and NT,1999,Walt Kohler,International Conference on Management of Data
Daytona and the foruth-generation language cymbal,1999,Rick Greer,International Conference on Management of Data
DataBlitz storage manager: main-memory database performance for critical applications,1999,"J. Baulier, P. Bohannon, S. Gogate, C. Gupta, S. Haldar",International Conference on Management of Data
Indexing medium-dimensionality data in Oracle,1999,"K. V. Ravi Kanth, Siva Ravada, Jayant Sharma, Jay Banerjee",International Conference on Management of Data
Storing semistructured data with STORED,1999,"Alin Deutsch, Mary Fernandez, Dan Suciu",International Conference on Management of Data
Efficient geometry-based similarity search of 3D spatial databases,1999,Daniel A. Keim,International Conference on Management of Data
A new method for similarity indexing of market basket data,1999,"Charu C. Aggarwal, Joel L. Wolf, Philip S. Yu",International Conference on Management of Data
WALRUS: a similarity retrieval algorithm for image databases,1999,"Apostol Natsev, Rajeev Rastogi, Kyuseok Shim",International Conference on Management of Data
Shrinking the warehouse update Window,1999,"Wilburt Juan Labio, Ramana Yerneni, Hector Garcia-Molina",International Conference on Management of Data
DynaMat: a dynamic view management system for data warehouses,1999,"Yannis Kotidis, Nick Roussopoulos",International Conference on Management of Data
Bottom-up computation of sparse and Iceberg CUBE,1999,"Kevin Beyer, Raghu Ramakrishnan",International Conference on Management of Data
Client-site query extensions,1999,"Tobias Mayr, Praveen Seshadri",International Conference on Management of Data
Data management issues in electronic commerce,1999,M. Tamer &#214;zsu,International Conference on Management of Data
"Of crawlers, portals, mice, and men: is there more to mining the Web?",1999,"Minos N. Garofalakis, Sridhar Ramaswamy, Rajeev Rastogi, Kyuseok Shim",International Conference on Management of Data
"Honey, I shrunk the database: footprint, mobility, and beyond",1999,Praveen Seshadri,International Conference on Management of Data
A layered architecture for querying dynamic Web content,1999,"Hasan Davulcu, Juliana Freire, Michael Kifer, I. V. Ramakrishnan",International Conference on Management of Data
Automatic discovery of language models for text databases,1999,"Jamie Callan, Margaret Connell, Aiqun Du",International Conference on Management of Data
Record-boundary discovery in Web documents,1999,"D. W. Embley, Y. Jiang, Y.-K. Ng",International Conference on Management of Data
Query rewriting for semistructured data,1999,"Yannis Papakonstantinou, Vasilis Vassalos",International Conference on Management of Data
Computing capabilities of mediators,1999,"Ramana Yerneni, Chen Li, Hector Garcia-Molina, Jeffrey Ullman",International Conference on Management of Data
High speed on-line backup when using logical log operations,2000,David B. Lomet,International Conference on Management of Data
Efficient resumption of interrupted warehouse loads,2000,"Wilburt Juan Labio, Janet L. Wiener, Hector Garcia-Molina, Vlad Gorelik",International Conference on Management of Data
On-line reorganization in object databases,2000,"Mohana K. Lakhamraju, Rajeev Rastogi, S. Seshadri, S. Sudarshan",International Conference on Management of Data
Finding generalized projected clusters in high dimensional spaces,2000,"Charu C. Aggarwal, Philip S. Yu",International Conference on Management of Data
