entityId1,entityId2
1130,2133
846,190
424,2255
176,1442
730,1625
956,2237
372,2669
168,2107
945,2217
585,264
623,273
1095,946
113,1644
693,411
998,806
791,666
1008,800
958,2078
347,2705
932,2193
624,2241
1070,980
374,2511
528,913
1264,2369
1156,899
805,2502
427,2210
349,2703
1321,634
1187,572
781,2451
896,151
800,2921
35,1988
461,2389
845,2342
1346,612
497,299
546,538
332,2855
794,2481
581,2670
574,263
1170,887
962,827
660,211
720,437
728,2761
1307,654
1012,783
496,1540
1019,2254
1224,511
59,2066
46,2027
1169,2095
518,1763
609,1477
1199,537
565,2848
603,1976
634,332
165,1468
582,554
1109,938
348,1545
673,265
782,2387
1071,2045
883,152
669,360
564,787
830,459
987,826
20,1217
1151,440
573,2422
587,150
770,2459
1252,2303
1231,1067
440,2120
491,801
568,2850
359,2700
1281,1015
757,386
1145,2069
1024,756
649,228
560,356
428,2190
974,812
1278,1017
1335,639
858,202
450,2415
537,221
375,2499
1274,494
847,188
732,423
1285,698
586,256
918,177
1310,678
1253,191
1238,514
1045,2274
851,794
30,426
807,2400
66,1534
1250,454
1188,571
177,1448
261,1460
1120,2117
1218,1065
1080,1345
1059,1972
795,2477
1268,1013
90,1599
1121,927
36,1986
1058,12
1225,1319
1038,742
77,1565
818,2620
1322,633
815,2487
1213,556
1146,905
1340,253
708,398
719,2646
578,947
87,1568
897,165
101,1628
724,2236
462,2388
721,436
831,2485
60,2054
1347,619
774,2186
1243,1059
1142,2073
1336,599
1175,559
1013,785
881,2433
832,1473
1031,2268
919,2444
1286,697
47,2025
747,338
650,233
661,219
451,2080
1200,539
1085,960
476,2353
0,1833
506,1913
625,272
857,2390
380,2131
947,2216
409,2713
1260,775
1098,1965
1006,2311
645,317
577,148
124,1792
321,2934
376,2503
1102,493
1222,1880
983,2178
894,2484
938,880
265,330
166,1469
115,1642
284,2849
867,2372
1105,1391
266,2298
674,266
891,2763
466,2081
692,414
697,406
771,2458
611,290
1135,920
1297,700
943,2211
922,169
635,351
1257,1040
58,2061
308,2915
1160,897
875,912
863,979
1092,1342
592,943
906,2445
1332,642
1025,764
733,425
1072,964
488,2332
243,141
1282,696
561,2419
950,852
1097,944
909,162
1000,808
268,2941
1157,2110
734,357
1323,627
78,1561
1173,792
312,573
334,2852
8,1890
1348,610
1172,885
1226,506
783,2456
48,2023
1176,558
