brand,dimensions,price,modelno,shipweight,title
Koss,7.6 x 4.8 x 1.4 inches,12.65,152132,1,Koss EQ50 3-Band Stereo Equalizer
Kodak,5.3 x 3.2 x 1.2 inches,10.28,1163641,1,Kodak Black Ink Cartridge 10B 1163641
Kingston,6.8 x 2.2 x 0.5 inches,33.75,KTC-D320/1G,1,Kingston 128MX64 PC2700 COMPAQ Evo D320 KTC-D320 1G
Kinamax,4.3 x 2.8 x 1.3 inches,6.99,MS-UES2,1,Kinamax MS-UES2 Mini High Precision USB 3-Button 3D Optical Scroll Wheel Mouse with Retractable Cable Black
Kensington,4.1 x 3.2 x 1.5 inches,24,K72349US,1,Kensington K72349US Wireless Mouse for Netbooks
Kensington,11.4 x 7.6 x 0.9 inches,23.92,K39324US,1,Kensington BlackBelt Protection Band for iPad 2 K39324US
JUST5,4.0 x 2.0 x 0.6 inches,64.11,J509black,1,JUST5 J509 Easy to Use Unlocked Cell Phone with Big Buttons Amplified Sound Personal Emergency Response System Black
Imation,5.5 x 5.5 x 3.6 inches,10.29,17301,2,Imation Corp 50PK CDR 700MB 80MIN 52X-SPINDLE 17301
Imation,5.5 x 5.5 x 2.2 inches,6.99,17340,1.1,16x DVD-R Media
iGo,12.8 x 11.0 x 1.4 inches,29.99,AC05065-0001,2,iGo Arctic Laptop Cooling Pad AC05065-0001
HP,9.8 x 7.8 x 1.1 inches,25.04,FB343AA#AC3,1,HP TouchPad Custom Fit Case
HP,15.2 x 11.2 x 9.7 inches,142.99,CE749A#BGJ,19.8,HP LaserJet Pro P1606dn Printer CE749A BGJ
HP,14.8 x 4.9 x 4.4 inches,,CE285A,2,HP 85A LaserJet Black Toner Print Cartridge - Retail Packaging CE285A
HP,16.8 x 13.0 x 8.2 inches,267.24,CB524A,5,HP - Envelope feeder - 75 sheets
Hawking Technology,11.2 x 10.0 x 3.8 inches,270.99,HOW2R1,5,Hawking Hi-Gain Outdoor Wireless-300N Dual Radio Smart Repeater
Griffin Technology,7.1 x 5.0 x 1.2 inches,14.26,GC23090,1,Griffin Technology PowerJolt SE 2 amp Power Charger for iPad iPhone and iPod Black
Goldtouch,6.5 x 5.8 x 1.8 inches,37.92,GTC-0033,12,Goldtouch USB Numeric Keypad Hub - Keypad - USB - 22 keys - white
