entityId1,entityId2
751,236
2124,966
254,529
2063,1944
439,1574
38,2090
1864,2088
234,2207
1781,784
737,1423
1342,362
740,1177
287,1915
482,2114
1832,654
2360,1886
1484,872
237,1972
1820,1653
2377,484
100,1058
1722,1599
2414,1508
1419,2173
601,438
1393,241
1588,437
2126,846
2463,1546
1,1093
1034,1371
1938,73
1174,2044
1541,255
843,850
2079,666
2117,1606
1374,1842
2213,1835
1178,1724
844,775
397,1016
754,57
2327,572
790,1169
1524,1686
1232,1352
1437,721
845,702
944,680
304,551
357,251
457,143
1741,66
949,274
94,1609
750,411
2167,1585
1136,1148
2381,212
495,1103
2610,1689
1585,748
1825,1307
1082,1535
1740,169
448,913
1767,2028
155,659
2313,1771
93,1712
607,13
6,746
1582,1013
1478,1457
681,2073
557,78
2478,381
1819,1834
1791,60
748,618
2372,993
198,1220
1834,601
2542,1212
2153,730
2357,188
1943,1781
615,1417
262,2043
1468,256
185,254
616,1348
2200,946
1854,992
654,2292
2236,2060
1061,1284
579,331
513,1717
1075,125
2094,1570
384,140
1857,759
1811,481
1549,1747
1360,1053
1100,2153
1398,1996
1569,95
823,581
2392,1427
325,958
1717,110
2494,1159
2397,1025
1657,1005
2043,1737
1308,1301
138,111
1252,1857
2052,994
2105,697
66,1997
283,371
1299,2057
226,1012
1225,17
1655,1194
1172,321
1898,1503
576,644
955,1957
1121,473
2102,967
2096,1472
512,1869
1916,31
2201,957
974,395
76,1209
2595,1026
529,477
320,1442
925,378
366,1719
1028,27
2499,814
2104,831
335,202
1077,55
581,267
1652,1486
618,1298
2138,2111
2197,1315
2289,1877
1510,1002
661,1836
759,1897
182,638
418,1529
1998,1466
1794,2013
567,1456
1912,415
1396,2287
863,1471
2072,1484
1165,1137
892,1122
583,288
1822,1760
926,494
2528,506
774,826
655,319
134,699
246,1497
1818,194
2284,284
481,571
1439,791
2455,570
1695,21
2151,1225
115,91
1459,1317
310,292
2139,2220
438,1958
1947,1779
1526,1770
1272,460
739,1554
1277,42
1779,1258
727,640
197,1493
2292,1818
2485,9
2362,107
536,2031
1750,1757
2533,124
1670,205
148,1470
136,550
1390,783
1128,134
243,1778
2212,277
945,859
1411,1230
1693,217
611,2092
850,560
2152,1166
396,1377
1801,1626
896,837
27,1418
1878,1252
2092,2054
1348,186
1264,1151
2125,1235
720,1248
2018,1923
1551,1904
2472,1109
1175,355
107,799
1117,1074
2287,85
1402,2005
1724,1763
1508,1404
2419,1420
437,185
1280,1755
22,1862
1870,1938
1362,1232
684,2070
932,62
933,1883
425,1187
1986,501
1506,1575
937,1550
582,446
1843,81
2239,2176
1731,1184
1604,1639
2428,683
923,821
1434,1269
1203,2158
1926,1392
625,978
1721,2023
2115,190
1589,691
376,1165
2518,1413
1223,496
993,1010
2393,1690
305,772
1268,863
1251,77
1107,1939
929,2233
957,2101
345,1556
873,883
2136,361
1350,2257
2270,1527
71,1926
2365,1838
1316,989
1482,1405
169,1987
2476,823
2299,1326
352,988
2512,30
687,1855
268,1964
494,1492
765,1672
57,899
1664,782
392,1768
1672,122
2184,486
2207,779
2460,2159
373,1447
597,1146
1108,1881
362,174
433,565
1538,873
2113,391
599,987
1747,2105
849,717
191,183
1739,573
1111,1645
2535,40
1368,803
1392,708
1219,882
1988,389
440,2
489,1928
524,1224
452,912
1894,2204
1379,1792
1858,1095
1833,981
2255,918
2180,852
1302,2194
2571,1161
2588,1956
463,3
1954,1323
1094,876
2600,956
1435,628
1975,858
1835,184
1575,1314
1863,1952
1475,1416
785,1329
1424,1540
542,1035
776,2076
2028,556
1290,385
2106,2281
47,1133
1086,917
648,414
206,246
1821,1345
450,458
2420,797
894,474
1123,1949
935,1171
1518,1917
1120,1092
2147,1864
1907,1311
1080,320
2396,1682
2345,1819
1757,1476
35,1040
77,1651
1906,1395
590,36
2267,108
634,485
881,467
1798,2182
2204,1249
1364,1338
2005,1382
390,264
1824,32
176,1646
173,1895
2312,487
34,1147
917,1586
187,739
1962,867
143,301
781,597
1807,1453
1706,1649
329,1251
2295,1914
371,1863
2560,404
271,1975
730,741
1574,326
87,866
1357,1950
1214,1536
2159,928
1920,291
1901,1867
80,1461
2348,1636
2364,307
31,1434
2022,26
1169,1195
468,2038
1720,521
1218,1227
1919,399
2550,1272
2553,1023
1132,181
535,584
1026,794
2608,555
633,647
2390,2273
430,1113
386,669
2150,1718
1715,959
2308,889
1815,848
1255,2278
2256,1115
78,1667
1217,1340
2296,1898
2349,1594
919,1507
2008,1236
44,406
290,470
2513,278
1467,1084
188,749
1157,2244
1016,1663
2358,869
53,1433
2373,1389
1644,459
504,871
902,610
165,341
2488,48
1344,792
544,1658
7,1179
2021,1955
1440,1031
2568,1611
50,1713
1683,1341
2580,616
853,602
908,136
1649,74
1598,221
4,1450
2521,1435
612,139
256,1020
1353,84
2378,1028
548,1367
2563,2056
462,317
2511,2286
2265,2224
556,711
2121,1893
1332,1841
1249,538
593,1740
161,733
1147,819
2174,1593
248,1708
351,1354
1103,382
1790,706
609,428
2577,930
562,235
614,20
2439,96
2085,816
444,1854
1058,43
2413,2267
2044,129
98,1908
207,1054
840,1766
1340,1228
692,1761
801,908
2317,2061
847,1191
592,1878
796,1331
903,646
293,2127
158,1044
2475,1245
1448,476
1092,1356
2042,333
1696,380
1547,457
49,1913
2179,1254
2379,1037
2077,1532
1684,1381
2523,1376
1084,2033
2033,1090
990,1644
887,2002
208,1018
443,1993
2040,687
602,1257
1048,1107
2240,475
2436,600
1158,175
1876,2030
2487,469
2418,2100
2389,417
617,35
1839,1009
702,1173
697,1590
649,1483
393,2250
2344,63
900,1131
1042,1638
2322,1892
1844,605
2081,1419
995,1445
1594,880
912,145
117,596
2038,895
1453,299
1197,1081
503,1339
2541,119
712,376
795,1685
1889,996
546,1874
2524,1542
2188,768
258,1211
2422,1825
1632,1858
24,159
1641,1120
2279,1414
1977,1909
1999,83
939,2045
1347,952
55,1694
1680,1985
2034,1286
2032,1451
1897,367
2587,440
2382,1078
1592,1110
1241,1576
