venue,title,year,authors,entityUrl
SIGMOD Record,Semantic Integration of Environmental Models for Application to Global Information Systems and Decision-Making,1999,D. Scott Mackay,journals/sigmod/Mackay99
VLDB,Estimation of Query-Result Distribution and its Application in Parallel-Join Load Balancing,1996,"Viswanath Poosala, Yannis E. Ioannidis",conf/vldb/PoosalaI96
VLDB,Incremental Maintenance for Non-Distributive Aggregate Functions,2002,"Themistoklis Palpanas, Richard Sidle, Hamid Pirahesh, Roberta Cochrane",conf/vldb/PalpanasSCP02
VLDB,Cost-based Selection of Path Expression Processing Algorithms in Object-Oriented Databases,1996,"Zhao-Hui Tang, Georges Gardarin, Jean-Robert Gruser",conf/vldb/GardarinGT96
VLDB,Benchmarking Spatial Join Operations with Spatial Output,1995,"Erik G. Hoel, Hanan Samet",conf/vldb/HoelS95
SIGMOD Conference,Efficient Geometry-based Similarity Search of 3D Spatial Databases,1999,Daniel A. Keim,conf/sigmod/Keim99
SIGMOD Record,Mining the World Wide Web: An Information Search Approach - Book Review,2002,Aris M. Ouksel,journals/sigmod/Ouksel02
VLDB J.,Enhanced Abstract Data Types in Object-Relational Databases,1998,Praveen Seshadri,journals/vldb/Seshadri98
SIGMOD Record,Report on DART '96: Databases: Active and Real-Time (Concepts meet Practice),1997,"Nandit Soparkar, Krithi Ramamritham",journals/sigmod/RamamrithamS97
SIGMOD Record,UniSQL's Next-Generation Object-Relational Database Management System,1996,"Phil Janus, Albert D'Andrea",journals/sigmod/DAndreaJ96
VLDB,Dual-Buffering Strategies in Object Bases,1994,"Alfons Kemper, Donald Kossmann",conf/vldb/KemperK94
SIGMOD Conference,Aurora: A Data Stream Management System,2003,"Nesime Tatbul, Daniel J. Abadi, C. Erwin, Anurag Maskey, Mitch Cherniack, Alex Rasin, Christian Convey, A. Singer, Eduardo F. Galvez, R. Yan, Ugur �etintemel, Ying Xing, Stanley B. Zdonik, Michael Stonebraker, Donald Carney, M. Hatoun",conf/sigmod/AbadiCCCCEGHMRSSTXYZ03
VLDB J.,Priority Assignment in Real-Time Active Databases,1996,"Rajendran M. Sivasankaran, Bhaskar Purimetla, John A. Stankovic, Krithi Ramamritham, Donald F. Towsley",journals/vldb/SivasankaranSTPR96
VLDB J.,WaveCluster: A Wavelet Based Clustering Approach for Spatial Data in Very Large Databases,2000,"Surojit Chatterjee, Gholamhosein Sheikholeslami, Aidong Zhang",journals/vldb/SheikholeslamiCZ00
VLDB J.,Approximate query mapping: Accounting for translation closeness,2001,"Hector Garcia-Molina, Kevin Chen-Chuan Chang",journals/vldb/ChangG01
VLDB,SPRINT: A Scalable Parallel Classifier for Data Mining,1996,"John C. Shafer, Rakesh Agrawal, Manish Mehta",conf/vldb/ShaferAM96
SIGMOD Conference,Snowball: A Prototype System for Extracting Relations from Large Text Collections,2001,"Jeff Pavel, Luis Gravano, Aleksandr Voskoboynik, Eugene Agichtein, Viktoriya Sokolova",conf/sigmod/AgichteinGV01
SIGMOD Conference,A Framework for Implementing Hypothetical Queries,1997,"Timothy Griffin, Richard Hull",conf/sigmod/GriffinH97
VLDB J.,Parametric Query Optimization,1997,"Raymond T. Ng, Timos K. Sellis, Yannis E. Ioannidis, Kyuseok Shim",journals/vldb/IoannidisNSS97
VLDB,Lineage Tracing for General Data Warehouse Transformations,2001,"Yingwei Cui, Jennifer Widom",conf/vldb/CuiW01
SIGMOD Record,Report on the ACM Fourth International Workshop on Data Warehousing and OLAP (DOLAP 2001),2002,Joachim Hammer,journals/sigmod/Hammer02
VLDB,Approximating Aggregate Queries about Web Pages via Random Walks,2000,"Jittat Fakcharoenphol, Steve Chien, Ziv Bar-Yossef, Alexander Berg, Dror Weitz",conf/vldb/Bar-YossefBCFW00
SIGMOD Record,A Query Language for a Web-Site Management System,1997,"Dan Suciu, Daniela Florescu, Alon Y. Levy, Mary F. Fernandez",journals/sigmod/FernandezFLS97
VLDB,Supporting Periodic Authorizations and Temporal Reasoning in Database Access Control,1996,"Elena Ferrari, Pierangela Samarati, Claudio Bettini, Elisa Bertino",conf/vldb/BertinoBFS96
