authors,venue,title,year,entityUrl
D. Scott Mackay,SIGMOD Record,Semantic Integration of Environmental Models for Application to Global Information Systems and Decision-Making,1999,journals/sigmod/Mackay99
"Viswanath Poosala, Yannis E. Ioannidis",VLDB,Estimation of Query-Result Distribution and its Application in Parallel-Join Load Balancing,1996,conf/vldb/PoosalaI96
"Themistoklis Palpanas, Richard Sidle, Hamid Pirahesh, Roberta Cochrane",VLDB,Incremental Maintenance for Non-Distributive Aggregate Functions,2002,conf/vldb/PalpanasSCP02
"Zhao-Hui Tang, Georges Gardarin, Jean-Robert Gruser",VLDB,Cost-based Selection of Path Expression Processing Algorithms in Object-Oriented Databases,1996,conf/vldb/GardarinGT96
"Erik G. Hoel, Hanan Samet",VLDB,Benchmarking Spatial Join Operations with Spatial Output,1995,conf/vldb/HoelS95
Daniel A. Keim,SIGMOD Conference,Efficient Geometry-based Similarity Search of 3D Spatial Databases,1999,conf/sigmod/Keim99
Aris M. Ouksel,SIGMOD Record,Mining the World Wide Web: An Information Search Approach - Book Review,2002,journals/sigmod/Ouksel02
Praveen Seshadri,VLDB J.,Enhanced Abstract Data Types in Object-Relational Databases,1998,journals/vldb/Seshadri98
"Nandit Soparkar, Krithi Ramamritham",SIGMOD Record,Report on DART '96: Databases: Active and Real-Time (Concepts meet Practice),1997,journals/sigmod/RamamrithamS97
"Phil Janus, Albert D'Andrea",SIGMOD Record,UniSQL's Next-Generation Object-Relational Database Management System,1996,journals/sigmod/DAndreaJ96
"Alfons Kemper, Donald Kossmann",VLDB,Dual-Buffering Strategies in Object Bases,1994,conf/vldb/KemperK94
"Rajendran M. Sivasankaran, Bhaskar Purimetla, John A. Stankovic, Krithi Ramamritham, Donald F. Towsley",VLDB J.,Priority Assignment in Real-Time Active Databases,1996,journals/vldb/SivasankaranSTPR96
"Surojit Chatterjee, Gholamhosein Sheikholeslami, Aidong Zhang",VLDB J.,WaveCluster: A Wavelet Based Clustering Approach for Spatial Data in Very Large Databases,2000,journals/vldb/SheikholeslamiCZ00
"Hector Garcia-Molina, Kevin Chen-Chuan Chang",VLDB J.,Approximate query mapping: Accounting for translation closeness,2001,journals/vldb/ChangG01
"John C. Shafer, Rakesh Agrawal, Manish Mehta",VLDB,SPRINT: A Scalable Parallel Classifier for Data Mining,1996,conf/vldb/ShaferAM96
"Jeff Pavel, Luis Gravano, Aleksandr Voskoboynik, Eugene Agichtein, Viktoriya Sokolova",SIGMOD Conference,Snowball: A Prototype System for Extracting Relations from Large Text Collections,2001,conf/sigmod/AgichteinGV01
"Timothy Griffin, Richard Hull",SIGMOD Conference,A Framework for Implementing Hypothetical Queries,1997,conf/sigmod/GriffinH97
"Raymond T. Ng, Timos K. Sellis, Yannis E. Ioannidis, Kyuseok Shim",VLDB J.,Parametric Query Optimization,1997,journals/vldb/IoannidisNSS97
"Yingwei Cui, Jennifer Widom",VLDB,Lineage Tracing for General Data Warehouse Transformations,2001,conf/vldb/CuiW01
Joachim Hammer,SIGMOD Record,Report on the ACM Fourth International Workshop on Data Warehousing and OLAP (DOLAP 2001),2002,journals/sigmod/Hammer02
"Jittat Fakcharoenphol, Steve Chien, Ziv Bar-Yossef, Alexander Berg, Dror Weitz",VLDB,Approximating Aggregate Queries about Web Pages via Random Walks,2000,conf/vldb/Bar-YossefBCFW00
"Dan Suciu, Daniela Florescu, Alon Y. Levy, Mary F. Fernandez",SIGMOD Record,A Query Language for a Web-Site Management System,1997,journals/sigmod/FernandezFLS97
"Elena Ferrari, Pierangela Samarati, Claudio Bettini, Elisa Bertino",VLDB,Supporting Periodic Authorizations and Temporal Reasoning in Database Access Control,1996,conf/vldb/BertinoBFS96
"Bin Li, Dennis Shasha",SIGMOD Conference,Free Parallel Data Mining,1998,conf/sigmod/LiS98
"Brian T. Tran, Jyh-Herng Chow, Michelle Jou, Jean Grandbois, Yun Wang, You-Chin Fuh, Weidong Chen, Nelson Mendon�a Mattos",VLDB,High Level Indexing of User-Defined Types,1999,conf/vldb/ChenCFGJMTW99
Philip A. Bernstein,VLDB,PC Database Systems - Present and Future,1994,conf/vldb/Bernstein94
"Jeffrey F. Naughton, Qiong Luo",VLDB,Form-Based Proxy Caching for Database-Backed Web Sites,2001,conf/vldb/LuoN01
"Tova Milo, Serge Abiteboul, Sophie Cluet",VLDB J.,A Logical View of Structured Files,1998,journals/vldb/AbiteboulCM98
"Evaggelia Pitoura, Serge Abiteboul, Michalis Vazirgiannis, Dieter Pfoser, George Samaras",SIGMOD Record,DBGlobe: a service-oriented P2P system for global computing,2003,journals/sigmod/PitouraAPSV03
"Reinhard Braumandl, Alfons Kemper, Donald Kossmann",SIGMOD Conference,Database Patchwork on the Internet,1999,conf/sigmod/BraumandlKK99
"Yannis E. Ioannidis, Maria Zemankova",VLDB,Scientific Databases - State of the Art and Future Directions,1994,conf/vldb/ZemankovaI94
"Bernhard Seeger, Peter Widmayer, Jochen Van den Bercken",VLDB,A Generic Approach to Bulk Loading Multidimensional Index Structures,1997,conf/vldb/BerckenSW97
"J�rg Sander, Jianjun Zhou",VLDB,Data Bubbles for Non-Vector Data: Speeding-up Hierarchical Clustering in Arbitrary Metric Spaces,2003,conf/vldb/ZhouS03
"Hector Garcia-Molina, Wilburt Labio",VLDB,Efficient Snapshot Differential Algorithms for Data Warehousing,1996,conf/vldb/LabioG96
"Roberta Cochrane, Hamid Pirahesh, Nelson Mendon�a Mattos",VLDB,Integrating Triggers and Declarative Constraints in SQL Database Sytems,1996,conf/vldb/CochranePM96
"Yannis Papakonstantinou, Luis Gravano, Vagelis Hristidis",VLDB,Efficient IR-Style Keyword Search over Relational Databases,2003,conf/vldb/HristidisGP03
Curtis E. Dyreson,SIGMOD Conference,"Temporal Coalescing with Now, Granularity, and Incomplete Information",2003,conf/sigmod/Dyreson03
"Sharma Chakravarthy, Y. Alp Aslandogan, Ramez Elmasri, Leonidas Fegaras, Jung-Hwan Oh",SIGMOD Record,Database Research at UT Arlington,2003,journals/sigmod/ChakravarthyAEFO03
"Kevin Strehlo, Ralph Kimball",SIGMOD Record,Why Decision Support Fails and How To Fix It,1995,journals/sigmod/KimballS95
"Alexandros Biliris, Banu �zden, Abraham Silberschatz, Rajeev Rastogi",VLDB,A Low-Cost Storage Server for Movie on Demand Databases,1994,conf/vldb/OzdenBRS94
"Theo H�rder, Norbert Ritter, Udo Nink",VLDB,Generating Call-Level Interfaces for Advanced Database Application Programming,1999,conf/vldb/NinkHR99
"Haixun Wang, Wei Wang, Philip S. Yu, Jiong Yang",SIGMOD Conference,Clustering by pattern similarity in large data sets,2002,conf/sigmod/WangWYY02
"Manuel Rodriguez-Martinez, Joseph J�J�, John M. McGann, Nick Roussopoulos, Zhexuan Song, Stephen Kelley, Vadim Katz",SIGMOD Conference,MOCHA: A Database Middleware System Featuring Automatic Deployment of Application-Specific Functionality,2000,conf/sigmod/Rodriguez-Martinez00
"Zengping Tian, Hongjun Lu, Yanlei Diao, Songting Chen",SIGMOD Conference,Fact: A Learning Based Web Query Processing System,2000,conf/sigmod/ChenDLT00
"Jim Melton, Andrew Eisenberg",SIGMOD Record,SQL Multimedia and Application Packages (SQL/MM),2001,journals/sigmod/MeltonE01
Amit P. Sheth,VLDB,Bellcore's ADAPT/X Harness System for Managing Information on Internet and Intranets,1996,conf/vldb/Sheth96
Per-�ke Larson,SIGMOD Conference,XML Data Management Go Native or Spruce up Relational Systems? (Panel Abstract),2001,conf/sigmod/Larson01
