title,price,manufacturer,description,entityUrl
learning quickbooks 2007,38.99,intuit,learning quickbooks 2007,http://www.google.com/base/feeds/snippets/11125907881740407428
superstart! fun with reading & writing!,8.49,,fun with reading & writing! is designed to help kids learn to read and write better through exercises puzzle-solving creative writing decoding and more!,http://www.google.com/base/feeds/snippets/11538923464407758599
qb pos 6.0 basic software,637.99,intuit,qb pos 6.0 basic retail mngmt software. for retailers who need basic inventory sales and customer tracking.,http://www.google.com/base/feeds/snippets/11343515411965421256
math missions: the amazing arcade adventure (grades 3-5),12.95,,save spectacle city by disrupting randall underling's plan to drive all the stores out of business and take over the city. solve real-world math challenges in the uniquely entertaining stores and make theme successful again.,http://www.google.com/base/feeds/snippets/12049235575237146821
production prem cs3 mac upgrad,805.99,adobe software,adobe cs3 production premium mac upgrade from production studio premium or standard,http://www.google.com/base/feeds/snippets/12244614697089679523
video studio 11 plus,103.99,corel corporation,corel video studio 11 plus is consumer video editing and dvd authoring software that lets anyone do more with video.,http://www.google.com/base/feeds/snippets/12311932123270766595
edius pro 4,585.99,canopus/grass valley,whether you are working with standard definition or high definition video grass valley edius pro nle software frees you from the limitations of conventional editing systems. edius pro software can be upgraded to edius broadcast at any time.,http://www.google.com/base/feeds/snippets/13364214809208487698
qb pos 6.0 pro multi store sw,1054.99,intuit,qb pos 6.0 pro multistore retail mngmt software. has all the features in basic plus the ability to manage up to ten stores from a single office.,http://www.google.com/base/feeds/snippets/12835181529749808477
qb credit card kit 3.0,25.99,intuit,quickbooks credit card kit v3.0 (2007),http://www.google.com/base/feeds/snippets/12949835105262366018
vegas movie studiodvd+8 plat,92.99,sony creative software,sony media software vegas movie studio +dvd 8 platinum edition. video editing and dvd creation software vegas movie studio platinum edition software provides the power features and advanced tools you need to edit video in nearly any format ...,http://www.google.com/base/feeds/snippets/12991998923940483779
