id,title,starring,entityUrl,writer,editor
0,The Silver Lining,Gayne Whitman,Match5316,,
1,,Arthur Christopher Orme Plummer,Match17874,,
2,Kannathil Muthamittal,P. S. Keerthana,Match15948,Mani Ratnam,
3,Zeb vs. Paprika,Arthur Stanley Jefferson,Match19260,Al Giebler,
4,Thinner,Constantine Joanides,Match3548,Stephen King,
5,American Ninja 2: The Confrontation,Michael Dudikoff,Match11461,Gary Conway,
6,,Rakhee Gulzar,Match11961,Javed Akhtar,
7,Slipping Wives,Oliver Hardy,Match15700,Harry Eugene Roach,
8,,,Match14733,Ruth Prawer Jhabvala,
9,,Genelia D'Souza,D19,N. Shankar,
10,Reunion in France,Marion Robert Morrison,Match13166,Marc Connelly,
11,It Happened Here,Reginald Marsh (actor),D111,"Kevin Brownlow
Andrew Mollo",
12,,Kamal Haasan,D112,,
13,,Tom Laughlin (actor),Match12824,Tom Laughlin (actor),
14,Inferno,Eleonora Giorgi,D114,Dario Argento,
15,Lebenszeichen,Peter Brogle,Match2038,Werner Herzog,
16,The Warrens of Virginia,Sarah Blanche Sweet,Match1313,William Churchill DeMille,
17,,Robert Mitchum,Match4954,James Salter,
18,Abbott and Costello Go to Mars,Lou Costello,Match16206,Howard Christie,
19,,Frances Ethel Gumm,Match21968,Edgar Allan Woolf,
20,The Sixth Man,Kadeem Hardison,Match13063,Christopher Reed,
21,Academy Award for Documentary Feature,,Match14792,,
22,"Que la barque se brise, que la jonque s'entrouvre","Vantha Talisman
u00C9ric Nguyen",Match511,Rithy Panh,
23,,Terrance Quinn,Match22853,Ron Nyswaner,
24,Evil Ambitions,S. William Hinzman,Match15438,Michael D. Fox,
25,,August Schellenberg,Match11421,Pete White,
26,List of Sundance Film Festival award winners,,Match1464,,
27,The Sundowners,Robert Mitchum,Match14628,Isobel Lennart,
28,Minbo,Takehiro Murata,Match22597,Juzo Itami,
29,Corpse Bride,Emily Anita Watson,Match20479,Timothy William Burton,
30,Golden Films,,D130,Jack Olesker,
31,Saat Hindustani,Amitabh Bachchan,Match22592,Khwaja Ahmad Abbas,
32,,Michael Rooker,Match22375,James Ellroy,
33,pretty_maids_all_in_a_row,"Roy Harold Scherer, Jr.",Match8529,Francis Pollini,
34,House of the Long Shadows,"Desi Arnaz, Jr.",Match21734,Michael Armstrong,
35,,Victoria Principal,Match17865,John Frederick Milius,
36,,Michel Galabru,Match16708,Marc Perrier,
37,Escape from Hell,"Anthony Steffen
Ajita Wilson
Cristina Lau
Cintia Lodetti",Match923,"Sergio Chiusi
Roberto Estu00E9vez
Anthony La Penna
Edoardo Mulargia",
38,Claustrophobia,Judith O'Dea,Match4,Mark Tapio Kines,
39,The Trial of Madame X,"Mara Russell-Tavernan
Paul England",Match16829,Alexandre Bisson,
40,Under Two Flags,Victor McLaglen,Match1886,,
41,,Rajeev Kanakala,D141,Pruthvi Raj,
42,Universal Pictures,,Match9094,,
43,,Deni Francis,D143,Kathleen Byrson,
44,The Time Traveler's Wife,Rachel McAdams,Match16103,Bruce Joel Rubin,
45,,Jerzy Fedorowicz,Match20297,Krzysztof Kie?lowski,
46,,Teresa Stratas,D146,Alexandre Dumas fils,
47,,Ricardo Dominguez,Match526,Fate,
48,Police Academy 4: Citizens on Patrol,Steven Guttenberg,Match1432,Gene Quintano,
49,8 Heads in a Duffel Bag,Kristy Swanson,Match22052,Tom Schulman,David Holden
50,Ghosts of Mars,Clea Helen D'Etienne DuVall,Match20802,John Howard Carpenter,
51,,Suzanna Leigh,Match20031,Tudor Gates,
52,,Harry Moses Horwitz,Match18978,,
53,,Valerie Mahaffey,Match16712,"Mark Ganzel
Barry Kemp",
54,,Da Pump,Match8459,Toshiki Inoue,
55,Don't Look Now,Julie Frances Christie,Match3995,Chris Bryant (writer),
56,One More Time,"Samuel George Davis, Jr.",Match21022,Michael Pertwee,
57,His Favourite Pastime,Viola Barry,Match8735,Craig Hutchinson,
58,Un Chant d'Amour,Java (actor),Match18752,Jean Genet,
59,,Robert John Wagner,Match3415,"David Greene
Barry Oringer",
60,Wild Country,Peter Capaldi,Match14631,Craig Strachan,
61,,Sombat Metanee,D161,Rattan Pestonji,
62,,Jeffrey Byron,Match22845,Allen Actor,
63,,Peter Reid (triathlete),D163,,
64,,Kenji Oyama,Match4751,Torashiro Sait?,
65,The Squaw Man,Elliott Dexter,Match14795,"Beulah Marie Dix
Edwin Milton Royle",
66,Caravaggio,Nigel Terry,Match18448,"Derek Jarman
Suso Cecchi d'Amico
Nicholas Ward-Jackson (story)",
67,Bedtime Story,James David Graham Niven,Match2050,Paul Henning,
68,The Blood of a Poet,Pauline Carton,Match22220,,
69,Two English Girls,Jean-Pierre Léaud,Match20666,Henri-Pierre Roché,
70,,Michelle Glick,Match14617,,
71,Columbia Pictures,,D171,,
72,"Luke, Patient Provider",Harold Lloyd,Match2697,,
73,Blood Feast,Scott H. Hall,Match18100,Herschell Gordon Lewis,
74,Sweet Dreams,Edward Allen Harris,Match14302,Robert Getchell,
75,,Sultan Billa,D175,,
76,Country Dance,Michael Craig,Match8630,James Kennaway,
77,The Seeker,Amelia Warner,D177,Susan Cooper,
78,,Leon Russell,Match2531,,
79,Mysterious Skin,Alexander Brady Corbet,Match14341,Scott Heim,
80,Alien Love Triangle,Alice Connor,Match15488,John Hodge (screenwriter),
81,,Kathy Ann Najimy,Match14308,Peter Michael Paige,
82,Dead Man,Gary Farmer,Match16287,James R. Jarmusch,
83,,Tim Wheeler,D183,Jed Shepherd,
84,,,Match5233,Kaneto Shindô,
85,Lone Wolf and Cub: Baby Cart in Land of Demons,Tomisaburo Wakayama,D185,Kazuo Koike,
86,Starman,Karen Jane Allen,Match8682,Bruce A. Evans,
87,Saved!,Mary-Louise Parker,Match5487,Michael Urban,
88,,Charles Murray (actor),Match18014,Ralph Spence,
89,The Girl In The Park,Elias Koteas,D189,David Auburn,
90,Sublime,Lawrence Hilton Jacobs,D190,Erik Jendresen,
91,The Barbarian and the Geisha,Marion Robert Morrison,Match8474,Charles Grayson,
92,,Igor Ilyinsky,Match20993,Eldar Ryazanov,
93,Police Academy 5: Assignment Miami Beach,G.W. Bailey,Match997,Stephen Curwick,
94,Light Sleeper,William J. Dafoe,Match21911,Paul Schrader,
95,Blade II,Leonor Varela Palma,Match14267,Marvin A. Wolfman,
96,Midnight Express,John Vincent Hurt,Match300,William Hoffer,
97,La venus maldita,José Luis López Vázquez,Match2677,;(story),
98,,Margot Kidder,D198,Max Ehrlich,
99,,"Bertha Regustus
Edward Boulden",Match4031,Tom Buckingham,
100,Call Me,Boyd Gaines,Match21068,Sollace Mitchell,
101,Computer-animated films,Jay Leno,Match17224,Jon Vitti,
102,Baise-moi,Karine Bach,Match18654,Coralie Trinh Thi,
103,,Seetha (actor),D1103,,
104,,Prithviraj Kapoor,Match1971,Virendra Sinha,
105,Rhapsody,Vittorio Gassman,Match17465,Henry Handel Richardson,
106,She Married Her Boss,Melvyn Edouard Hesselberg,Match21923,Gregory La Cava,
107,Carbon Copy,Denzel Washington,Match22060,Stanley Shapiro,
108,Shaolin Warrior,"Chia-Liang Liu
Chia Hui Liu",Match10498,,
109,Yoju Toshi,Stuart Miller,Match18631,Hideyuki Kikuchi,
110,Day of the Roses,Paul Mercurio,Match21073,,
111,The Bad Lands,Henry DeWitt Carey II,Match3890,Harvey Gates,
112,,Venantino Venantini,Match17583,,
113,,Coleen Gray,Match11198,Jo Eisinger,
114,,,Match270,"Peter Alton

Peter Spirer",
115,Adventureland,Ryan Rodney Reynolds,D1115,Greg Mottola,
116,Okka Magaadu,"Nandamuri Bala Krishna, Simran, Anushka, Nisha Kothari",D1116,Chinthapalli Ramana,
117,Camp Nowhere,Jonathan Stevens Jackson,Match9593,Eliot Wald,
118,The Burning of the Red Lotus Temple,,D1118,"Zhengqiu Zheng,Shang K'ai-jan",
119,Pacific Heights,Matthew Avery Modine,Match466,Daniel Pyne,
120,,Irene Marie Dunn,Match7629,Lloyd C. Douglas,
121,,Gary Leonard Oldman,Match4426,Teleplay,
122,City Hall,Danny Aiello,Match1043,Bo Goldman,
123,,Harry Moses Horwitz,Match2964,John Grey,
124,Plein soleil,Alain Delon,Match21256,Paul Gégauff,
125,Heavy Traffic,"Joseph Kaufmann
Beverly Hope Atkinson
Frank DeKova
Terri Haven
Mary Dean Lauria",Match3400,Ralph Bakshi,
126,,Tyrone Benskin,D1126,Mark Sevi,
127,Mackenna's Gold,Eldred Gregory Peck,Match5077,Carl Foreman,
128,Master of the Flying Guillotine,Kar Wing Lau,Match20212,Jimmy Wang Yu,
129,L'Homme qui vendit son u00E2me au diable,,Match21406,,
130,The Land Before Time VIII: The Big Freeze,Tress MacNeille,Match10806,John Loy,
131,,Swathi,D1131,,
132,Operation Condor 2: The Armour of the Gods,u9673u6E2Fu751F (Chan Kong Sang),D1132,u9673u6E2Fu751F (Chan Kong Sang),
133,Lloyd's of London,"Tyrone Edmund Power, Jr.",Match3895,Curtis Kenyon,
134,Vertigo,Marilyn Pauline Novak,Match3109,Samuel Albert Tanenbaum,
135,Universal Pictures,,Match2010,,
136,Daai chek liu,Cheung Siu-Fai,Match3445,Au Kin Yee,
137,Road Gang,Kay Linaker,Match15044,Harold Buckley,
138,,Hema Malini,Match10182,Vijay Anand,
139,,Salman Khan,Match3100,Bala,
140,,William Davis Garwood Jr.,Match10958,,
141,,Meiko Kaji,Match17813,Manga,
142,A Midnight Clear,Peter Berg,Match863,William Wharton,
143,The Bros.,Joey Fatone,Match21652,Jonathan Figg,
144,,Harold Rowe Holbrook Jr.,Match7602,Robert Thom,
145,Republic Pictures,Raymond Benard,Match243,Ronald Davidson,
146,The Champ,Jonathan Vincent Voight,Match20268,Frances Marion,
147,Banlieue 13,Bibi Naceri,Match991,Luc Besson,
148,,William Gregory Lee,Match22574,Paul Anthony,
149,Bad Boys,Will Smith,Match14312,Doug Richardson,
150,,Vijaya Kumarathunge,D1150,,
151,,Glynn Russell Turman,Match4450,David Kidd,
152,Accumulator 1,Petr Forman,Match6835,Zden?k Sv?rák,
