https://www.scads.de/movieBenchmark/ontology/primaryProfessions,http://dbpedia.org/ontology/birthYear,https://www.scads.de/movieBenchmark/ontology/name,http://dbpedia.org/ontology/deathYear,entityUrl,https://www.scads.de/movieBenchmark/ontology/startYear,https://www.scads.de/movieBenchmark/ontology/runtimeMinutes,https://www.scads.de/movieBenchmark/ontology/isAdult,https://www.scads.de/movieBenchmark/ontology/title,https://www.scads.de/movieBenchmark/ontology/originalTitle,https://www.scads.de/movieBenchmark/ontology/genre_list,http://dbpedia.org/ontology/episodeNumber,http://dbpedia.org/ontology/seasonNumber,https://www.scads.de/movieBenchmark/ontology/endYear
actor,1905-01-01,Edmon Ryan,1984-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0002269,,,,,,,,,
actor,1925-01-01,Steve Forrest,2013-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0002079,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt1327791,2008-01-01,44,0,Gar ho yuet yuen,Gar ho yuet yuen,"Comedy,Drama",,,
"camera_department,cinematographer,writer",,Albert Banzon,,https://www.scads.de/movieBenchmark/resource/IMDB/nm2009282,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt6411836,2017-01-01,55,0,Chapter 58,Chapter 58,Drama,6,5,
"producer,actor,writer",1961-01-01,George Lopez,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0520064,,,,,,,,,
"actor,writer,producer",1880-01-01,Wallace Bosco,1973-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0097848,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt10100558,2019-01-01,,0,Bonusprogram med extra tester,Bonusprogram med extra tester,Comedy,8,3,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0604370,1996-01-01,,0,For God and Country,For God and Country,"Crime,Drama,Mystery",12,4,
"actor,producer,soundtrack",1976-01-01,Benedict Cumberbatch,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1212722,,,,,,,,,
"writer,actress,director",,Genki Yoshimura,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0949025,,,,,,,,,
"actor,miscellaneous",,Sayid,,https://www.scads.de/movieBenchmark/resource/IMDB/nm2489701,,,,,,,,,
actress,1931-01-01,Jeanne Moody,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0600488,,,,,,,,,
writer,,Elizabeth Enright,,https://www.scads.de/movieBenchmark/resource/IMDB/nm5483289,,,,,,,,,
actor,1990-01-01,Fredrik Svensson,,https://www.scads.de/movieBenchmark/resource/IMDB/nm10537538,,,,,,,,,
actor,,John Bayliss,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0063094,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0073558,1976-01-01,103,0,Poslednyaya zhertva,Poslednyaya zhertva,"Drama,Romance",,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0658769,2002-01-01,,0,Motherhunt: Part 2,Motherhunt: Part 2,"Action,Drama,Mystery",7,2,
actor,1956-01-01,Ryo Ishibashi,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0410903,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0657675,1961-01-01,30,0,Grudge Match,Grudge Match,"Adventure,Drama,Family",21,1,
actor,1915-01-01,John Vivyan,1983-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0900387,,,,,,,,,
"actor,writer",1923-01-01,Hellmut Lange,2011-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0486132,,,,,,,,,
"director,writer,producer",1939-01-01,Joel Schumacher,2020-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0001708,,,,,,,,,
,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0630837,1959-01-01,30,0,Circles of Panic,Circles of Panic,Drama,5,7,
actor,1894-01-01,Joseph J. Greene,1979-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0338812,,,,,,,,,
,,Paul Quinn,,https://www.scads.de/movieBenchmark/resource/IMDB/nm9471342,,,,,,,,,
