entityId1,entityId2
4979,1544
112,2376
1849,3297
3936,383
1934,4434
3247,4316
2611,1492
1665,458
5095,122
1899,1517
1338,4748
3178,5950
2874,4235
4808,5836
658,3854
939,3383
4443,5093
1241,2890
1636,507
2652,463
3068,4525
3030,1858
2938,3028
3783,4904
1456,3163
1882,2940
4516,3135
2131,2753
2516,5306
4897,2553
4727,2019
1725,3696
3406,1064
1762,625
4128,2579
3133,1516
2364,1548
1838,2507
2174,933
724,4862
5068,2403
2023,3542
3839,2011
3678,5443
3062,966
4786,3589
4952,3836
1326,4054
4992,514
4905,5999
1699,3507
1898,1638
2165,5786
1511,5087
3689,2175
2943,5017
4150,4873
4013,2224
3688,2260
468,1545
3357,5169
3193,4743
4469,2981
4784,3764
2372,912
293,3785
3751,5241
1516,4673
901,4218
1354,1741
5117,2455
802,2499
1312,2879
5048,2343
1385,5013
4202,2928
4356,78
454,2715
2763,1238
2950,353
1806,2839
3608,3094
2981,3618
622,5167
2793,2851
4126,5155
3660,524
1159,1562
2542,3213
3081,5871
2278,543
1035,3668
2816,5044
1183,3673
1155,3650
1057,1852
4688,1231
5037,3285
4743,4859
75,1437
4930,1625
3278,1826
4558,3825
2609,4115
4656,3883
3002,4264
4699,314
1090,3211
3269,231
1797,1874
4854,3846
1837,2650
1921,1519
1729,3428
2897,2436
2083,2719
2139,3904
3928,1142
2777,4205
4425,851
3601,5444
421,5503
700,466
1362,1128
752,4342
4622,4989
701,385
5105,1765
2448,2838
3258,3512
2864,5171
4276,5033
1925,5286
3447,4210
2249,2977
4132,4698
1483,1019
467,1695
4949,64
4023,1464
4894,531
2769,3148
2031,588
2104,993
3997,1250
845,3100
4494,960
767,5481
934,5633
4827,274
4596,699
483,380
754,4189
3189,1060
1593,96
5044,2741
2532,4083
4682,4127
3318,4376
2846,4962
3914,4059
3439,4905
2636,3652
4729,236
2782,3827
3040,1159
2913,5239
3841,4309
244,1676
3597,4238
200,1233
4179,986
3056,5851
2766,3587
2960,1539
329,5150
1896,3844
2265,110
2036,4509
2022,3900
2966,5156
3880,1235
2462,6029
2706,384
2175,5272
4955,2129
2914,5384
765,5840
2397,3241
2801,694
3346,2294
271,5894
2725,4694
2185,2685
4444,5378
4857,2088
2435,4191
1856,1321
2831,4086
3295,668
2388,4000
4514,5990
3922,3656
193,4188
4800,4511
4477,879
2621,1043
188,4610
2964,1257
1907,1198
4115,4031
4529,4750
656,4410
1563,1082
955,4174
1553,1913
1214,3160
3059,3895
1810,2843
3697,4183
3808,4947
2146,5944
1606,3405
887,3949
4014,143
1461,5460
1275,2211
3760,3061
4213,4121
2604,4797
3114,1129
3495,4572
173,3564
4292,3958
2529,4629
1833,3265
2284,4483
3988,4626
1445,4492
4084,756
2480,4608
2267,4109
1477,5934
1876,3799
3949,5556
189,4557
3546,2154
862,6046
1236,5465
1413,1270
1478,1767
1506,1743
1952,3386
663,2085
2118,5991
1324,469
3020,764
3111,3706
4987,1340
4734,77
2171,5697
1604,1819
3886,2622
4096,3873
3175,188
3264,3313
3028,103
3851,3747
3073,4570
3795,202
711,4006
720,5584
1487,5133
1293,3079
3380,3667
4117,2167
4665,3517
5116,5265
1205,3971
4811,1906
1479,1714
4860,1935
4599,4892
1937,2884
833,2084
390,4314
1225,2320
3518,2742
1431,5702
4821,5186
4326,2983
1242,3245
4491,5686
5113,1444
2815,5524
4093,89
2904,2233
1114,1583
4790,1343
4826,4791
4002,5320
417,2096
540,1845
2294,1951
4348,5274
4141,4300
1223,2504
3335,5663
1677,1687
3725,1965
1282,1709
695,3605
3468,498
2432,2796
120,3948
4960,1872
445,5651
1661,1253
1788,680
1716,4883
4393,5652
2154,5394
4499,951
240,416
4739,1508
3828,1615
1480,5767
2006,1302
3075,4448
4273,1552
2930,4208
129,1443
252,1200
1437,3473
79,3271
4186,579
1286,709
1383,4942
2955,5537
1740,3978
3009,5985
3867,2679
4554,639
430,5321
554,864
1169,1333
218,4178
3583,1681
1177,2402
3144,1249
3799,1875
685,550
2341,4098
346,4114
1984,5063
4124,1832
1467,2917
2256,5325
4892,1275
1913,5129
2078,5456
2644,1802
45,2168
3600,276
255,5227
2559,4759
1835,5163
2582,2859
1474,2362
4970,5361
2974,4833
3006,437
959,53
4977,682
2983,4097
4530,5014
789,1877
574,1592
4321,3633
759,2629
2166,2275
5015,5734
692,1742
499,3734
251,1482
2648,5588
147,1924
1928,3915
2207,2979
2585,2637
10,5104
3585,5647
3861,858
4664,2105
3449,2288
4809,2358
2079,1319
4040,664
4458,4569
721,1707
653,893
927,5089
2330,975
2858,459
4746,1162
3643,4937
4598,5249
4143,4398
4366,4038
2743,5909
2568,1713
651,3424
829,2694
1364,5688
1263,3537
2216,4605
1150,4728
3836,1226
4154,5251
2734,2581
4856,4344
4580,913
3704,5745
42,734
4769,3366
3208,4200
1776,6035
3561,3566
3522,4475
2157,1325
3102,2485
2298,1910
3283,3843
1946,2453
1025,2846
4904,2704
2537,230
33,1494
3930,3395
1659,1710
1564,3169
4532,814
2471,5723
2600,1445
4211,561
221,2292
2778,4823
4617,1966
3289,3372
3500,481
4817,3518
4157,3295
485,2634
2422,3942
2274,1605
4215,2574
2617,5907
4708,2615
584,2614
4471,1807
3425,288
1681,4002
2361,2591
369,2308
497,5757
1438,3692
2226,5614
3251,4775
4173,3760
811,2492
508,4845
613,2548
3712,1061
3882,5657
