entityId1,entityId2
2333,31
5109,1529
2952,1909
2683,6278
2986,1136
2649,5005
3395,4055
4852,2376
2858,3563
1557,7574
3114,6893
3796,4008
262,1949
3159,1593
602,6500
1766,4567
4469,7081
2660,4
3560,607
3172,6653
3778,5036
4823,6838
576,2520
1196,4780
3502,3369
989,7628
1769,1807
3236,5449
1618,8
2185,6664
2760,3533
1576,6015
3881,4699
4827,6515
2708,5803
2171,3742
276,807
1435,3388
5056,1380
806,2349
203,4822
4560,6154
2887,3236
3708,3152
3592,17
2864,7673
4255,4381
1365,3073
312,6029
1814,6764
2748,2494
3922,3840
1548,1745
1420,560
4530,6153
2598,7236
2132,383
813,3836
2893,711
115,332
3955,6772
2245,3769
5059,1157
4570,5361
4251,4733
4486,6190
559,3968
83,5044
2634,5832
3399,163
1201,1887
486,6421
4425,6693
3825,5772
1895,7786
510,4436
3678,3154
255,1024
217,3709
3381,5756
4625,2382
977,4592
2981,3679
1907,1139
1219,2464
1354,6076
3775,5362
3326,6240
3037,1074
2794,7388
2917,6939
3743,303
4211,6044
4246,1581
1409,3087
4076,7500
829,6174
2814,1653
2545,3007
4608,203
5033,3352
1212,7647
821,4793
250,7622
2485,3895
644,7690
1112,3166
698,5255
1640,307
631,2627
4190,3702
4944,5090
1288,4950
1694,2460
1958,6690
3197,589
1800,5467
1015,7620
3009,3424
1564,5061
3380,7458
220,1927
3704,5139
339,242
2770,752
3257,1765
4936,3247
2423,7496
767,7255
2924,728
2524,4782
828,2671
2099,5244
4690,3662
1351,5899
4922,790
3111,3175
1454,3964
2468,3303
4972,746
1006,5869
1783,1242
2263,5987
931,278
2966,4975
4371,1485
736,5752
4778,2517
3972,3399
4231,2874
2477,4610
3150,4532
1786,2578
2867,5495
618,1218
3250,2378
4641,7270
4004,3277
1962,260
1168,7245
64,4196
2220,5946
1859,4716
4809,6094
3648,5731
2704,2646
2776,4390
4333,4657
522,2292
1634,4206
4208,7651
4428,5945
4798,3907
492,4953
1253,3390
3939,1634
3357,1697
4141,5189
4319,3768
1432,2716
439,6320
3988,1513
369,5087
555,6932
4071,2819
2788,5910
1317,4072
2633,2392
2682,1376
8,1142
2606,7685
2780,4536
1489,42
898,98
1960,923
2732,5415
3867,6484
3993,1105
4213,4388
1996,969
1838,4907
2002,6621
3688,4955
546,4589
3841,7728
3984,2915
896,115
2753,4748
3701,4872
2534,4489
302,6412
500,7436
4614,6911
2964,7731
3721,7314
3901,700
4979,6371
4860,6988
1776,5988
1147,3864
1281,2017
4596,226
600,7340
4613,7016
3987,2703
3755,2452
2353,167
4937,3718
2799,1931
1453,4131
4415,2969
2108,3013
1003,7638
2930,4426
3573,3230
2668,5686
2734,3238
1459,647
3908,1078
3871,3070
2156,5186
1223,3725
2651,972
162,1684
4525,3129
69,1213
1563,1160
1092,2327
1592,3947
4499,1189
4135,3713
3574,4232
1712,6167
426,5423
5086,2602
4807,4295
1851,2822
520,1720
2101,6646
4349,2447
1699,4216
3535,2321
3047,4978
667,6888
3575,4163
932,5376
4052,5532
139,5660
4179,7276
3453,932
4637,1071
1272,2794
2162,5692
2042,6467
2125,570
1118,5340
1488,2247
1266,3302
3726,2855
4397,3526
4276,6360
4898,6031
773,7356
2968,236
2062,6869
1696,3419
3137,1618
1865,5775
3447,2512
2743,2532
1555,1848
2712,5108
1984,2136
2819,7534
2801,1817
455,3038
1686,2213
1021,7264
2378,6217
1087,5882
3995,3075
4057,5127
114,7762
2766,6855
1055,6494
4199,2525
1889,758
1131,7320
737,2171
734,7508
1251,471
2602,4013
260,804
2274,4615
3061,6946
3546,453
2547,6540
1145,5182
1973,7076
2364,4364
168,7387
1478,6219
589,7262
2403,3178
5090,2328
2771,308
4661,4183
1065,2580
2657,4622
2498,378
1045,5305
1775,7136
2039,6768
3121,6009
2256,3093
686,3319
183,4169
4390,6200
3164,2451
4365,4193
4890,2561
4463,4251
487,5508
3222,4853
4029,6438
1173,6984
3351,1283
4,6738
4550,5229
1701,3065
4479,883
1129,3434
4703,6860
4099,2683
1404,106
4028,6527
2196,6049
2730,7776
4811,7113
227,5641
3951,6784
2479,2081
2681,6765
616,2176
3325,5588
453,3271
82,7588
1504,3140
1598,2445
495,4028
3435,2612
2585,390
2054,5705
5,6725
5076,2536
3508,1757
1730,6913
4883,6265
2963,1938
2214,7700
2967,5560
4930,2516
651,4312
3241,3299
1264,5742
1884,279
3466,1010
2980,537
3725,7225
4121,3986
1921,4464
1880,4705
1933,3324
434,5010
2954,1580
1315,7512
1700,2329
1856,6705
4405,7046
550,7674
199,7025
779,2853
2650,5409
633,1724
2267,6326
1242,7580
3471,1698
182,1207
4949,958
1855,2706
982,4441
1475,2581
1162,4941
2587,4348
3256,4260
3194,127
2690,6037
1809,1493
884,3437
2549,5453
4914,1821
3098,1961
527,1253
2146,2193
2175,4840
1202,2573
346,2091
4124,767
3235,3820
1781,3829
3649,3341
4996,5111
645,5963
789,5196
3689,953
2052,1822
2895,2435
3511,3449
1258,6284
3451,5438
3586,5412
4629,2973
1580,3036
3999,1853
1109,2276
3491,6221
3307,1947
288,2833
3186,2864
2430,7160
3393,7268
1537,4568
1369,3063
4109,1088
4036,4004
1836,3220
2752,1073
1659,6734
4173,5852
4743,5806
3879,6801
2576,3234
1892,779
1772,5551
4066,6547
4660,408
4268,7284
1864,5004
1995,6571
3367,6290
1531,3971
677,1274
3797,3368
5054,6477
1899,202
4601,120
643,1898
3254,2430
4565,7205
1115,7782
3148,983
2053,2710
1277,479
1812,5377
1767,3927
4678,4920
3175,4892
2672,2541
4679,2789
4396,3904
2619,4894
3697,6482
2038,971
4991,528
3614,3133
3859,3426
3763,2106
2170,6250
4303,5493
