entityId1,entityId2
283,1858
216,1662
2,737
224,232
284,2166
333,914
306,854
329,609
158,2130
257,2104
215,2009
1,1084
221,369
316,2086
49,2233
107,1772
92,331
238,1013
242,1321
286,2021
65,270
34,797
138,938
98,1301
40,1764
208,1850
77,1403
270,1074
229,539
190,1954
130,466
91,685
8,1698
258,292
81,1710
164,834
322,443
319,140
219,60
157,222
301,549
205,1541
43,1622
250,1486
64,619
173,1310
273,1381
46,1933
171,1001
150,51
125,162
17,2177
167,694
37,1453
59,454
260,601
71,1235
101,1154
179,1474
143,1249
194,0
23,85
254,1795
104,1462
69,925
263,904
119,2244
10,1561
294,380
183,1781
14,1872
232,844
196,307
247,1725
33,1147
147,2003
56,151
127,2062
132,773
115,1944
161,527
134,630
279,1549
6,1391
73,1095
280,1196
291,73
95,990
29,392
