entityId1,entityId2
4688,3283
122,1390
1079,1547
4715,5029
4142,7528
5035,7131
1199,5854
4452,1693
2367,3144
2265,5127
285,6291
3821,4934
5554,2812
5908,4323
5875,4843
1277,5560
1718,5821
1084,5191
658,6199
4979,7571
4457,1968
133,2470
6020,7236
4930,7772
6035,5988
2983,3491
4007,2462
148,1246
907,1592
76,5044
5656,6671
3538,6456
5514,4348
2539,3050
175,1135
4410,1551
1925,1242
1132,1282
1970,3643
5633,2872
1580,6927
2321,5393
5197,2789
2093,3308
5616,2323
5674,2159
4293,8
478,2798
5850,3920
332,1870
1603,3558
2653,5072
4615,6986
4470,5213
384,5002
2606,236
14,4965
1293,6278
3257,3571
2160,7049
1584,5186
5181,812
2085,3831
3692,6295
463,1241
2446,7315
1135,4853
521,5333
3283,2715
1943,3533
3754,1078
1898,2965
45,1835
518,867
5614,1885
3923,3433
1069,6918
609,7640
5558,2969
1005,7588
2710,3882
236,3699
3176,1485
4351,6933
3955,6392
3392,2517
1468,5096
1733,2433
5909,2532
2335,2787
2717,1195
3296,4968
554,4672
1162,3888
1780,2495
588,1845
4134,5028
5234,615
3333,5365
522,3775
4523,4747
2568,5413
3305,4184
4679,140
188,4892
4976,3478
2162,5970
5107,1559
4574,2048
3100,201
1806,2389
1777,4929
5492,1634
5421,3759
1517,202
3233,5573
4096,2747
1525,3174
3757,983
1082,1160
5995,3418
1519,4464
4822,4128
2272,3075
3076,5644
3587,6855
3249,7531
4746,193
2818,6994
541,1600
955,3504
2878,4243
1209,2017
5176,7512
1853,7399
5830,1457
2159,6402
2615,7646
4082,5280
3616,332
4969,5373
21,1076
3979,5086
2772,3370
313,1508
4879,5908
644,1329
645,3807
5759,4791
4741,5825
3262,1115
4782,4509
5006,3011
3624,3024
835,1843
3430,4801
5500,1037
5279,7786
1629,6832
5624,900
3905,436
4091,3943
2947,3952
2465,3733
5967,7410
164,165
2937,793
5124,2205
1696,1400
1711,791
1498,7443
5701,2834
4955,5969
5228,1146
2249,5292
3173,6939
4362,5414
1936,4610
3759,3358
1660,7041
253,3582
5473,5992
4696,7510
3039,6537
530,2573
5789,2819
746,2460
4332,2362
712,2319
4866,3042
421,7562
5414,5294
1987,4486
810,4441
2666,6784
346,7627
3571,5370
4496,1102
791,613
3859,4822
5898,4796
4818,2706
3761,4753
5284,6572
3706,3175
3536,6290
5777,6764
6037,4206
5887,1695
3831,919
699,226
114,183
4399,2329
3261,3171
733,3390
2069,5307
5613,459
2661,7320
3004,4014
4938,1768
4734,5232
4114,2091
1002,4852
3597,1709
3442,6679
3697,4433
1553,3713
4242,2216
4542,4657
4234,327
2507,4907
4967,233
3028,4158
5828,7798
2750,6754
255,5422
445,5485
5040,5618
3277,7318
4208,4426
6003,2194
5859,528
572,393
2288,7563
1763,625
3822,7095
850,2853
368,4025
1326,6416
2330,5863
4056,6576
3354,1849
3103,1073
1710,6734
2151,5536
3314,1985
751,4411
4767,7456
371,2545
5305,1745
2787,2761
580,6233
795,5396
3814,3336
4100,2881
982,984
4581,3400
4774,2860
118,244
1797,3529
5320,593
5864,3895
5020,4967
1877,5196
1399,6438
42,340
5408,7111
4040,4324
2031,3216
3113,2350
5941,253
3958,468
4474,7195
4210,2512
1548,4364
1048,3758
67,2306
881,1212
758,4381
3846,2849
1538,6069
1544,6371
1954,7473
4793,4189
1469,2692
1874,2750
5008,5899
4020,6873
5816,2336
4987,7658
2431,4279
1487,3220
4236,3761
4276,4850
540,2084
1505,1386
2846,7261
3414,3986
439,5929
4240,6232
2476,1006
1058,3282
1649,7521
5267,871
5971,7553
5743,4390
2740,4626
4937,5128
722,5372
4535,7776
2252,4864
1960,2857
2530,4320
2595,5515
4139,4318
3326,7200
5688,2824
6055,1809
2074,5299
4956,2010
5289,3946
1612,2729
4973,2778
2616,4665
3455,1731
5570,3158
6016,78
5160,6450
1296,2217
3752,3637
741,5330
562,231
3180,5516
713,4007
2224,7123
2603,4842
423,2349
2508,3712
437,2423
2198,6961
3468,2725
5346,3667
4898,6146
732,2039
6040,2258
464,6251
4357,65
3630,1566
2824,5841
2816,7685
1163,5744
4120,3084
2755,4568
5587,4981
5692,6097
407,367
2416,6009
4504,636
2394,2566
2504,3725
453,5193
4725,1610
3992,2199
3665,5624
2343,1818
5623,6981
4873,2209
4442,1327
2284,6738
3017,6630
4400,2540
1726,1393
5475,7537
279,2792
1491,6965
2884,3540
4421,5558
5894,37
868,7165
1025,4800
204,4105
1566,2921
4028,7434
5182,1744
2061,4848
5229,3998
1387,4986
2141,2300
2868,5444
2221,5853
5652,6650
2370,3767
4264,991
3872,3985
5751,2451
5776,3583
5384,154
1607,5556
5852,4351
2712,1935
3584,2099
1935,6988
1605,4615
3169,5061
2639,3299
5922,5831
3021,5056
816,3148
3453,3923
502,5382
1216,6154
4054,3056
214,6653
1012,1583
3712,1090
3643,1154
31,3168
1900,1899
1330,6239
1166,5203
3019,7417
3507,4216
4343,3603
2025,5942
1441,1617
3863,2511
1996,6265
4459,5093
4606,4621
4404,930
5664,3349
4177,3087
3599,2161
1333,2402
182,807
2118,2219
5054,261
2054,7331
4874,7031
5676,4949
947,7048
4735,3848
3263,7536
2777,7469
986,7276
4261,277
3312,7541
5717,2239
3960,690
354,1153
2154,453
4418,1593
5958,5050
5235,1229
2783,4347
3092,1335
1321,6705
5837,777
4853,6716
5349,4102
3379,6126
3607,3681
2642,7664
5944,2193
5319,3368
1274,383
1809,5311
1376,879
3709,6549
5621,3803
2564,3809
2004,5348
2810,639
1405,6667
475,5271
1215,3515
2826,3437
3887,557
4449,1280
1340,5450
83,907
2295,354
1425,4979
4416,1637
885,2165
6025,5693
2353,6982
1380,5156
3002,325
924,640
4691,4260
4379,693
324,3631
5220,6608
5127,4146
589,1333
1032,6033
2984,7
3568,2496
4947,2916
2982,191
311,6148
5718,6293
5590,752
1578,3129
4212,129
5814,6722
2163,6455
2281,5117
617,378
614,1306
3190,977
4192,6799
4799,2599
4000,3676
1139,5756
167,2031
4867,7581
1245,3577
738,1213
2070,3203
5410,5231
5591,2489
555,5083
700,5788
3309,1380
4005,3864
2864,6411
2084,6852
5994,5176
4699,6931
4127,1466
2641,7490
2412,6281
4465,6087
4199,3106
4631,6343
3813,6934
3994,1206
4174,844
125,1523
4300,5189
3345,742
5962,7307
1256,5869
198,5963
2300,2538
4077,3186
4481,6789
1131,1633
3010,1572
5975,7730
863,3780
3579,5868
5525,6255
4857,5723
3358,3409
1075,6845
3492,6340
5992,6092
5294,4884
1148,2662
3874,6063
3400,6998
2813,5664
4386,7071
3308,3528
3506,5832
3691,3317
1762,4851
3613,3083
1014,6339
2257,4797
3406,3937
391,697
2544,7496
5646,2830
89,3912
3270,542
5546,2911
5365,6570
1899,1674
56,2407
176,1411
2609,6540
2788,4046
3210,1442
4519,1642
3983,2101
3921,3804
3255,1
2728,1827
5687,2716
2853,2686
4393,3641
3502,1766
2790,7680
4367,970
2283,2593
1466,5108
1803,7560
5973,3768
4686,6240
598,824
420,1520
1006,4493
2891,3009
3494,6500
525,7511
3291,904
5362,5464
5691,5229
4592,1475
2774,1580
2280,7782
3865,311
1074,4974
5666,1173
5301,4004
2236,1169
3765,214
2886,1760
385,4790
2362,4202
1073,3039
3221,5439
987,1305
1844,1598
223,1476
2130,5100
2928,511
994,7478
4297,790
29,1328
1127,544
4101,1556
1623,4608
2917,12
2847,1341
1473,5210
5715,132
3343,7263
3274,3239
1141,6435
6014,3420
3903,449
1522,1853
329,1812
4632,1369
3763,5910
2350,3838
4385,1121
5977,2345
4761,6421
3260,304
1059,3419
96,6555
802,3586
827,91
2689,5321
1391,5579
3564,6393
2015,5987
4752,5162
2495,5006
2487,629
4626,1513
3099,7033
2725,3398
3667,7458
4164,575
1218,1479
3245,7580
3179,2427
2258,3526
22,733
2260,4955
1108,6821
3573,5004
2588,2351
5940,7166
150,6506
941,3054
4430,7152
36,7736
4328,2408
561,6044
111,5167
4649,167
5272,4840
2711,716
5793,3018
831,1467
1765,1778
1360,303
1055,5390
5014,6153
4775,6022
5063,2136
5329,4935
3241,125
5527,1183
4936,4248
1021,5883
5199,3830
1625,2516
4787,4607
1421,4027
2101,6066
35,2014
1038,7424
5452,264
1821,2926
651,1493
2514,2794
2005,6404
2365,2555
1432,4107
1041,1887
2400,1545
3509,5916
1347,7444
731,1707
3910,4567
3217,1340
6018,260
3037,6457
94,7020
4111,6966
971,5889
1518,7642
3749,4321
5985,3424
3236,203
4933,7504
5729,3805
3229,717
6008,2430
1613,1376
2967,6155
4777,3651
4213,7513
4925,3650
3875,376
5394,3654
3068,106
5122,2141
2961,4300
2992,271
4036,7251
2981,7081
2720,2567
3062,1230
3171,7353
5241,3476
93,5097
4388,5460
5240,6593
5733,5659
2132,4527
5036,2028
301,117
2764,2078
864,6333
2703,1412
2308,5087
2157,3453
2322,6386
5189,3525
2292,6856
3620,7245
3104,4539
1448,5224
5911,3498
4711,4295
2759,7016
5074,7447
3592,2155
1118,3507
3681,6214
2452,3378
1212,4316
4783,4916
3598,4488
4869,114
1593,3782
1113,6728
5004,1199
3082,4231
2081,2765
2832,5053
825,3737
4804,7275
80,302
1786,29
1952,6142
4309,7728
3957,532
5146,5206
4548,1898
3279,6600
2686,6655
1451,2928
2204,6028
281,1424
3556,587
351,1787
4001,5932
781,947
5419,5828
5661,5293
2429,5456
2034,5275
4153,5945
5210,2218
694,1817
5412,5919
3608,4174
4161,3997
4830,3969
2181,5428
3862,2175
5398,3916
3962,7069
5110,5999
3675,2612
3760,5852
4037,861
514,4940
1356,887
3812,2442
5244,1505
4484,3415
4958,3007
4742,2171
4738,800
4697,2098
821,1689
3552,631
4707,3321
2592,3236
4747,5577
2274,612
3499,4699
3647,2638
2748,3886
2753,6383
1455,4370
1583,61
4532,5592
753,3140
5426,6477
307,3319
2437,2643
2547,5815
5250,4733
2623,6736
1793,6945
4585,4783
2245,185
3728,4251
2435,3021
2651,3532
5231,4406
744,2050
1687,5719
2581,3238
3548,520
5386,7748
429,5508
3332,6200
5612,4398
