http://dbpedia.org/ontology/abstract,https://www.scads.de/movieBenchmark/ontology/title,http://dbpedia.org/ontology/episodeNumber,http://dbpedia.org/ontology/seasonNumber,entityUrl,http://dbpedia.org/ontology/releaseDate,https://www.scads.de/movieBenchmark/ontology/name,https://www.scads.de/movieBenchmark/ontology/job,https://www.scads.de/movieBenchmark/ontology/status,https://www.scads.de/movieBenchmark/ontology/company_type
"Strange things have been happening, first Duc was chased by two crooks to the Sensa News, then the crooks try to take Duc from Sensa News. Fortunately, Ace was there to save him. However when they go back to the Magic Express, they been rocked by grenades. What's worse is the Magic Express is in fire. The Express goes away, until comes to a cliff, the Express falls into the ocean. Luckily, the Express can still operate underwater. Yet, Duc complains to Ace about him being crazy, but Ace confronts Duc. Duc shows Ace a CD video about a new director in the St. Paul Hospital name John Wosh. However, John Wosh isn't really who he is, his real name is Paul Kelly and was arrested for illegal chemical experiments. Duc gets to the hospital headfirst, only to be taken away. Ace and Cosmo arrive there, they learn that the secret of the hospital is to treat people with a new virus then give a medication for a high price. Ace saves Duc who was about to be thrown in boiling liquid. They find Wosh an",The Paparazzo Affair,1,2,https://www.scads.de/movieBenchmark/resource/TVDB/episode8105,,,,,
"'John Paul Newman was a member of the New South Wales state parliament and Member of the seat of Cabramatta. He was the first politician to be assassinated in Australia.For many years Newman had been waging a campaign to break up the Asian crime gangs and corruption that had plagued the area. He had been the target of numerous death threats from such gangs but did not seek police protection. During the night of September 5, 1994 while outside his Woods Avenue home, he was shot and killed. His fiancée, Lucy Wang, was with him at the time but saw little of what happened because of the swiftness of the murder.A local nightclub owner, Phuong Ngo, who had previously attempted to secure Labor Party pre-selection for the seat, was convicted of the killing in 2001. Two of Ngo's associates escaped convictions. In 2003, an appeal by Ngo against the conviction failed.",The Assassination of John Newman,15,1,https://www.scads.de/movieBenchmark/resource/TVDB/episode357870,2005-08-01,,,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode6847480guestStars12,,Debbie McLeod,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19625directors1,,Henry Bromell,directors,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode117803guestStars4,,Noah Plener,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode300997guestStars2,,Frank Whaley,guestStars,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode186514guestStars1,,Jill Danson,guestStars,,
"Despite some friction, the Walkers deepen their friendship with the Underwoods. But it's all-out war between Francis and Tusk.",Chapter 20,7,2,https://www.scads.de/movieBenchmark/resource/TVDB/episode4741193,2014-02-14,,,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19688writers0,,Sean Whitesell,writers,,
,,,,https://www.scads.de/movieBenchmark/resource/TVDB/personepisode19604guestStars0,,Steven Marcus,guestStars,,
